,puma,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,21.2573724140578,20.4930766254087,21.898675802095
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,56.96,55.78231292517006,57.60197775030902
2,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,#DIV/0!
3,Cayuga & Onondaga (South) Counties PUMA,100.0,#DIV/0!,100.0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,14.275862068965516,15.762867647058822,12.78748850045998
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",62.69070735090153,76.70349907918968,54.22691879866518
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",29.371082775016212,24.591836734693878,32.88338957630296
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",33.33333333333333,#DIV/0!,33.33333333333333
8,Erie County (Northwest) PUMA,100.0,#DIV/0!,100.0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,#DIV/0!,0.0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0.0,0.0,0.0
11,Saratoga County (South & Central) PUMA,100.0,100.0,100.0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,10.233160621761659,0.0,45.14285714285714
13,Columbia & Greene Counties PUMA,0.0,0.0,0.0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,78.4366576819407,66.14950634696756,100.0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,4.406779661016949,100.0,0.0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,43.86694386694387,65.39792387543253,34.62109955423477
17,Putnam County PUMA,4.315659679408138,0.0,11.513157894736842
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,12.425715829281469,13.427010148321624,10.175438596491228
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,12.506684094825024,7.297955725029129,19.161028416779434
20,Rockland County (North)--New City & Congers PUMA,15.32901296111665,8.571428571428571,24.179620034542314
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",6.151847915928681,11.166500498504487,3.3882783882783882
22,Orange County (Northwest) PUMA,48.9517819706499,100.0,45.03386004514673
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,0.0
24,Dutchess County (Southwest) PUMA,17.13221601489758,43.80952380952381,0.0
25,Westchester County (Northwest) PUMA,11.964766332273062,15.349264705882353,8.110936682365253
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,#DIV/0!
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,23.719606828763578,14.336633663366335,41.387024608501115
28,Saratoga County (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,21.194379391100703,18.013719057560394,23.655665820447727
30,Erie County (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",17.82444803446419,8.18008877615726,24.941506785212916
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.0,0.0,0.0
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,48.10126582278481,65.33333333333333,41.23893805309734
34,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
35,Genesee & Orleans Counties PUMA,0.0,0.0,0.0
36,Monroe County (Central)--Rochester City (West) PUMA,0.0,#DIV/0!,0.0
37,Wayne & Seneca Counties PUMA,100.0,100.0,100.0
38,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
39,Erie County (North Central) PUMA,100.0,100.0,100.0
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0
41,Dutchess County (North & East) PUMA,14.148681055155876,0.0,17.87878787878788
42,Tompkins County PUMA,100.0,100.0,100.0
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",0.0,#DIV/0!,0.0
44,Onondaga County (Central)--Syracuse City PUMA,48.657187993680886,64.95726495726495,39.097744360902254
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,50.8833922261484,34.10852713178294,58.206429780033844
46,Suffolk County (Northwest)--Smithtown Town PUMA,#DIV/0!,#DIV/0!,#DIV/0!
47,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
48,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,14.313725490196077,8.811524609843937,20.889526542324248
49,Onondaga County (Central)--Syracuse City (Outer) PUMA,56.124161073825505,80.68181818181817,49.137931034482754
50,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,30.1056338028169,#DIV/0!,30.1056338028169
51,Erie County (West Central)--Buffalo City (West) PUMA,19.009314140558846,28.71927554980595,14.285714285714285
52,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",100.0,#DIV/0!,100.0
53,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
54,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,6.79304897314376,0.0,7.29431721798134
55,Cattaraugus & Allegany Counties PUMA,100.0,100.0,100.0
56,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",78.82761280370228,70.75023741690408,84.35064935064935
57,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!
58,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,43.32344213649852,0.0,55.3030303030303
59,Jefferson & Lewis Counties PUMA,33.90804597701149,100.0,0.0
60,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,12.530120481927712,12.055641421947449,12.833168805528134
61,Schenectady County--Schenectady City PUMA,0.0,#DIV/0!,0.0
62,NYC-Queens Community District 1--Astoria & Long Island City PUMA,17.750066330591668,12.184343434343434,21.784897025171624
63,Suffolk County (North Central)--Brookhaven Town (North) PUMA,100.0,100.0,#DIV/0!
64,Fulton & Montgomery Counties PUMA,100.0,#DIV/0!,100.0
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,7.9920739762219295,10.839160839160838,6.263269639065817
66,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",25.993690851735018,21.41057934508816,30.59418457648546
67,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",0.64728092973079,1.2851718430532568,0.0
69,Monroe County (Central)--Rochester City (East) PUMA,47.31182795698925,100.0,28.985507246376812
70,Westchester County (Northeast) PUMA,31.856540084388186,0.0,39.94708994708995
71,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.0,0.0,0.0
72,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",26.663948167278328,26.51452770262322,26.757553426676495
73,Onondaga County (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
74,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,29.20353982300885,16.083916083916083,100.0
75,Monroe County (South) PUMA,61.09022556390977,100.0,56.69456066945606
76,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",47.85677397142366,65.2338811630847,35.85564610011641
77,Rensselaer County--Troy City PUMA,63.08943089430894,52.609603340292274,100.0
78,Suffolk County (Central)--Islip Town (East) PUMA,100.0,#DIV/0!,100.0
79,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,100.0,100.0,100.0
80,Ontario & Yates Counties PUMA,0.0,0.0,0.0
81,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,51.78833904948554,63.315217391304344,45.28735632183908
82,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,0.0,0.0,#DIV/0!
83,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",9.911894273127754,18.313953488372093,0.0
84,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",11.328125,4.433833560709413,28.694158075601372
85,Chautauqua County PUMA,52.33291298865069,63.227513227513235,42.40963855421687
86,Orange County (Southeast) PUMA,17.835671342685373,63.04347826086957,7.616707616707617
87,Monroe County (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
88,Broome (Outer West) & Tioga Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
89,Suffolk County (East) PUMA,47.588832487309645,77.27272727272727,29.633401221995925
90,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",0.0,0.0,0.0
91,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,7.009174311926605,2.9160739687055477,11.372251705837757
92,Albany County (Outside Albany City) PUMA,100.0,100.0,100.0
93,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",0.0,0.0,0.0
94,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",5.186683832996137,0.0,9.04135941006733
95,Nassau County (West Central)--Hempstead Town (West Central) PUMA,0.0,#DIV/0!,0.0
96,Erie County (West Central)--Buffalo City (East) PUMA,36.851211072664356,0.0,63.01775147928994
97,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,59.68051118210863,100.0,38.318670576735094
98,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",69.6540225093789,70.35398230088495,68.29865361077111
99,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",15.798414496036239,29.756097560975608,14.938382927562369
100,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
101,Nassau County (Central)--Hempstead Town (East Central) PUMA,100.0,100.0,100.0
102,Nassau County (West Central)--North Hempstead Town (South) PUMA,30.56713928273561,10.0169779286927,50.409836065573764
103,Westchester County (Central)--White Plains City PUMA,14.481779460482727,14.749470712773466,13.936781609195403
104,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",#DIV/0!,#DIV/0!,#DIV/0!
105,Suffolk County (Northwest)--Huntington Town (South) PUMA,100.0,100.0,100.0
106,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.7550186534020252,1.4996471418489767,0.0
107,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,35.993208828522924,58.220338983050844,21.13314447592068
108,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,13.263610199035226,10.171698266742615,16.332794830371565
109,Suffolk County (Northwest)--Huntington Town (North) PUMA,0.0,#DIV/0!,0.0
110,Suffolk County (Southwest)--Islip Town (South) PUMA,45.44159544159544,100.0,23.400000000000002
111,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",15.591397849462366,0.0,29.441624365482234
112,Ulster County (East) PUMA,15.728476821192054,0.0,27.22063037249284
113,NYC-Manhattan Community District 10--Central Harlem PUMA,0.0,0.0,0.0
114,NYC-Brooklyn Community District 4--Bushwick PUMA,11.714053614947199,15.188500135611607,6.523500810372772
115,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,0.0,0.0
116,Oneida County (Central)--Greater Utica & Rome Cities PUMA,37.54764930114358,0.0,44.637462235649544
117,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",7.808304069407147,7.004510480233483,8.320649416539826
118,Erie County (Central) PUMA,35.60311284046693,0.0,45.2970297029703
119,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
120,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,100.0,100.0,100.0
121,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
122,Westchester County (Southwest)--Yonkers City PUMA,14.029574861367838,17.08603896103896,11.473183978275628
123,Sullivan & Ulster (West) Counties PUMA,15.588416512630932,44.5945945945946,4.664970313825275
124,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",17.884287265394757,12.339688041594455,22.375070185289164
125,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,38.029176201373,34.59297748386081,40.888248395126425
126,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.6315007429420505,1.3994649104754064,0.0
127,NYC-Manhattan Community District 11--East Harlem PUMA,0.0,0.0,0.0
128,Westchester County (Southeast) PUMA,8.058891902363426,17.23280861640431,0.0
129,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!
130,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
131,Monroe County (Central)--Greece & Gates Towns PUMA,100.0,100.0,#DIV/0!
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,34.197056941778634,30.11305241521069,37.77377737773777
133,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",100.0,100.0,100.0
134,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.0,0.0,0.0
135,Albany County (East Central)--Albany City PUMA,7.441860465116279,0.0,25.0
136,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",38.32719115526358,50.69908814589665,33.899042645778934
137,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,37.733898480306,36.60483681615403,38.62209087550794
138,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,34.09110934884131,40.337643678160916,28.074727555786193
139,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",11.808118081180812,0.0,21.122112211221122
140,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",2.1280291844002432,1.4905660377358492,2.671817157572831
141,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,#DIV/0!,0.0
142,Orange County (Northeast)--Greater Newburgh City PUMA,22.95285359801489,20.66326530612245,25.120772946859905
143,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",62.22222222222222,62.77372262773723,61.940298507462686
144,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,57.11472181191532,33.57215967246673,78.93738140417457
145,Suffolk County (Central)--Islip Town (Northwest) PUMA,59.07395898073338,68.66654472288275,46.54884165273466
146,Capital Region,54.11033978808915,38.35521769177609,71.78294573643412
147,Central NY,54.44660194174757,70.62841530054644,48.01953336950624
148,Finger Lakes,52.161840539468464,73.03822937625755,38.572364112639164
149,Long Island,45.38024164889837,51.66897400399938,39.214799175589405
150,Mid-Hudson,16.759143924810328,14.684805732840667,18.880998740121406
151,Mohawk Valley,42.54237288135593,0.0,49.53947368421053
152,New York City,17.06569001270988,15.565887570240836,18.30161858104192
153,North Country,11.007462686567164,18.098159509202453,0.0
154,Southern Tier,74.48916408668731,95.46827794561933,69.0809968847352
155,Western NY,38.108561835478454,35.861684327941994,39.23766816143498
