,puma,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,48.811781257646196,40.77241747962047,55.597856739988714
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,71.2,75.96371882086169,68.60321384425217
2,"Chenango, Delaware & Broome (East) Counties PUMA",29.411764705882355,100.0,0.0
3,Cayuga & Onondaga (South) Counties PUMA,0.0,#DIV/0!,0.0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,26.459770114942526,19.89889705882353,33.026678932842685
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",59.70873786407766,35.35911602209944,74.41601779755284
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",27.166630646207047,11.989795918367346,38.320209973753286
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,#DIV/0!,0.0
8,Erie County (Northwest) PUMA,0.0,0.0,0.0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,100.0,#DIV/0!,100.0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",60.19736842105263,41.54589371980676,100.0
11,Saratoga County (South & Central) PUMA,77.85977859778598,36.507936507936506,100.0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,75.51813471502591,81.57453936348409,54.85714285714286
13,Columbia & Greene Counties PUMA,0.0,0.0,0.0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,49.32614555256065,47.10860366713681,53.21782178217822
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,100.0,100.0,100.0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,50.41580041580042,29.06574394463668,59.58395245170877
17,Putnam County PUMA,47.903822441430336,39.64497041420118,61.67763157894737
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,50.24311183144247,37.15846994535519,79.64912280701755
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,46.7411324341988,42.94036648660099,51.596752368064955
20,Rockland County (North)--New City & Congers PUMA,41.02691924227318,53.934065934065934,24.122049510650548
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",58.72325417352457,42.705217680292456,67.49135892304894
22,Orange County (Northwest) PUMA,51.0482180293501,0.0,54.966139954853276
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,53.8755980861244,60.39244186046512,41.31652661064425
24,Dutchess County (Southwest) PUMA,59.96275605214153,23.333333333333332,83.4862385321101
25,Westchester County (Northwest) PUMA,48.63147605083089,45.988078862906924,51.64835164835166
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,#DIV/0!
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,36.67873771339886,39.64356435643565,31.096196868008946
28,Saratoga County (Outer) PUMA,0.0,0.0,#DIV/0!
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,51.36612021857923,42.67819862809424,58.08908377567506
30,Erie County (South) PUMA,15.0,18.0,0.0
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",49.75767366720517,33.10082435003171,62.04960224613944
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,62.580326248146314,55.44444444444444,68.29919857524487
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,60.31645569620253,0.0,84.33628318584071
34,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
35,Genesee & Orleans Counties PUMA,0.0,0.0,0.0
36,Monroe County (Central)--Rochester City (West) PUMA,100.0,#DIV/0!,100.0
37,Wayne & Seneca Counties PUMA,85.66775244299674,91.25,77.00831024930747
38,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
39,Erie County (North Central) PUMA,0.0,0.0,0.0
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",98.63760217983652,98.16176470588235,100.0
41,Dutchess County (North & East) PUMA,100.0,100.0,100.0
42,Tompkins County PUMA,0.0,0.0,0.0
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",100.0,#DIV/0!,100.0
44,Onondaga County (Central)--Syracuse City PUMA,28.35703001579779,5.982905982905983,41.478696741854634
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,56.419316843345115,0.0,81.04906937394247
46,Suffolk County (Northwest)--Smithtown Town PUMA,#DIV/0!,#DIV/0!,#DIV/0!
47,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
48,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,19.908496732026144,11.28451380552221,30.21520803443328
49,Onondaga County (Central)--Syracuse City (Outer) PUMA,43.875838926174495,19.318181818181817,50.86206896551724
50,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,100.0,100.0,100.0
51,Erie County (West Central)--Buffalo City (West) PUMA,76.0658505698607,93.58974358974359,67.46381371932033
52,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0.0,#DIV/0!,0.0
53,Monroe County (North & West) PUMA,0.0,0.0,#DIV/0!
54,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,63.42812006319115,100.0,60.729431721798136
55,Cattaraugus & Allegany Counties PUMA,0.0,0.0,0.0
56,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",29.078287697647514,10.63627730294397,41.688311688311686
57,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!
58,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,21.66172106824926,100.0,0.0
59,Jefferson & Lewis Counties PUMA,100.0,100.0,100.0
60,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,70.66265060240964,46.67697063369397,85.9822309970385
61,Schenectady County--Schenectady City PUMA,100.0,#DIV/0!,100.0
62,NYC-Queens Community District 1--Astoria & Long Island City PUMA,31.41416821438047,20.391414141414142,39.40503432494279
63,Suffolk County (North Central)--Brookhaven Town (North) PUMA,26.294820717131472,26.294820717131472,#DIV/0!
64,Fulton & Montgomery Counties PUMA,100.0,#DIV/0!,100.0
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,94.91413474240423,100.0,91.82590233545648
66,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",17.917981072555207,6.045340050377834,29.835651074589126
67,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",68.50880203991566,53.65592444747347,83.58032009484292
69,Monroe County (Central)--Rochester City (East) PUMA,0.0,0.0,0.0
70,Westchester County (Northeast) PUMA,11.286919831223628,0.0,14.153439153439153
71,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",47.21520510044508,51.82544209925841,43.852714790929895
72,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",47.886366725567484,43.40665804023056,50.692704495210016
73,Onondaga County (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
74,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.0,0.0,0.0
75,Monroe County (South) PUMA,0.0,0.0,0.0
76,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",38.028169014084504,41.28248113998323,35.768335273573925
77,Rensselaer County--Troy City PUMA,12.032520325203253,6.6805845511482245,30.88235294117647
78,Suffolk County (Central)--Islip Town (East) PUMA,0.0,#DIV/0!,0.0
79,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,0.0,0.0
80,Ontario & Yates Counties PUMA,0.0,0.0,0.0
81,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,48.21166095051445,36.684782608695656,54.71264367816092
82,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,0.0,0.0,#DIV/0!
83,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",43.95846444304594,40.0,48.628257887517144
84,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",23.095703125,3.956343792633015,71.30584192439862
85,Chautauqua County PUMA,100.0,100.0,100.0
86,Orange County (Southeast) PUMA,82.16432865731463,36.95652173913043,92.38329238329239
87,Monroe County (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
88,Broome (Outer West) & Tioga Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
89,Suffolk County (East) PUMA,33.869179600886916,16.423357664233578,48.472505091649694
90,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",68.11764705882352,100.0,66.9108669108669
91,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,33.94327538883806,17.120622568093385,51.97119029567855
92,Albany County (Outside Albany City) PUMA,17.957166392092258,46.58119658119658,0.0
93,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",64.5805293853746,50.20856201975851,79.59183673469387
94,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",50.78168107412176,32.226056945642796,64.57197819814043
95,Nassau County (West Central)--Hempstead Town (West Central) PUMA,72.41379310344827,#DIV/0!,72.41379310344827
96,Erie County (West Central)--Buffalo City (East) PUMA,87.5,88.88888888888889,86.3905325443787
97,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,63.067092651757186,69.37269372693727,59.72629521016618
98,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",34.76448520216757,32.11125158027813,39.90208078335373
99,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",47.93318233295583,47.80487804878049,47.941088067327925
100,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
101,Nassau County (Central)--Hempstead Town (East Central) PUMA,26.199261992619927,53.78787878787878,0.0
102,Nassau County (West Central)--North Hempstead Town (South) PUMA,15.221017514595497,25.806451612903224,5.0
103,Westchester County (Central)--White Plains City PUMA,64.41079034548036,53.77558221594919,86.0632183908046
104,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",#DIV/0!,#DIV/0!,#DIV/0!
105,Suffolk County (Northwest)--Huntington Town (South) PUMA,0.0,0.0,0.0
106,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,64.2654112631018,60.2152434721242,68.37209302325581
107,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,56.6044142614601,40.16949152542373,67.59206798866856
108,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,58.851189752320735,54.536577426967206,63.13408723747981
109,Suffolk County (Northwest)--Huntington Town (North) PUMA,40.71969696969697,0.0,45.84221748400853
110,Suffolk County (Southwest)--Islip Town (South) PUMA,54.55840455840456,0.0,76.6
111,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",0.0,0.0,0.0
112,Ulster County (East) PUMA,15.728476821192054,0.0,27.22063037249284
113,NYC-Manhattan Community District 10--Central Harlem PUMA,62.08920187793427,51.12891478514202,69.48402948402949
114,NYC-Brooklyn Community District 4--Bushwick PUMA,60.584890333062546,41.307295904529425,89.38411669367909
115,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",22.20977976857036,17.805755395683455,29.475766567754697
116,Oneida County (Central)--Greater Utica & Rome Cities PUMA,70.11421319796955,99.20634920634922,64.57703927492447
117,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",47.4592026440818,33.85513398779517,56.13055978352782
118,Erie County (Central) PUMA,59.65082444228904,1.345291479820628,75.74257425742574
119,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
120,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0
121,Niagara County (North & East) PUMA,0.0,0.0,#DIV/0!
122,Westchester County (Southwest)--Yonkers City PUMA,54.15896487985212,46.590909090909086,60.4887983706721
123,Sullivan & Ulster (West) Counties PUMA,15.157116451016636,55.4054054054054,0.0
124,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",56.6154800682488,44.95667244367418,66.05839416058394
125,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,31.192791762013726,28.54668556132893,33.39447137429582
126,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",44.780832095096585,35.39823008849557,52.49619224911153
127,NYC-Manhattan Community District 11--East Harlem PUMA,77.52043596730245,72.4179829890644,84.03100775193798
128,Westchester County (Southeast) PUMA,18.86865555986052,10.35625517812759,26.346433770014556
129,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!
130,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
