,puma,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,35.63557232961017,29.483345364545738,40.91015301837105
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,36.2453531598513,100.0,0.0
2,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,#DIV/0!
3,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,23.638928067700988,11.873198847262248,34.91712707182321
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",43.792325056433405,0.0,52.43243243243243
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",20.276497695852534,12.922868741542626,27.24358974358974
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,#DIV/0!,0.0
8,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,#DIV/0!,0.0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",100.0,100.0,100.0
11,Saratoga County (South & Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,84.12698412698413,81.57453936348409,100.0
13,Columbia & Greene Counties PUMA,0.0,0.0,0.0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,100.0,100.0,#DIV/0!
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,100.0,#DIV/0!,100.0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,52.407407407407405,0.0,64.31818181818181
17,Putnam County PUMA,41.81701030927835,27.021696252465482,69.70260223048327
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,41.332510795805064,42.92155094679892,37.890625
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,28.08904109589041,22.851919561243143,35.92681258549932
20,Rockland County (North)--New City & Congers PUMA,25.787459523108623,13.028846153846155,45.937737281700834
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",26.90025430912687,22.838983050847457,28.931750741839764
22,Orange County (Northwest) PUMA,100.0,#DIV/0!,100.0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,20.095693779904305,30.523255813953487,0.0
24,Dutchess County (Southwest) PUMA,74.8314606741573,58.47457627118644,80.73394495412845
25,Westchester County (Northwest) PUMA,42.71817676486937,46.74267100977198,38.496583143507976
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,#DIV/0!
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,37.504238724991524,40.1294498381877,30.279898218829516
28,Saratoga County (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,32.49133234274393,14.114223353946889,47.76299879081016
30,Erie County (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",15.066621113768363,21.31519274376417,9.912718204488778
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,22.393822393822393,18.985507246376812,24.487978628673197
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,100.0,100.0,100.0
34,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
35,Genesee & Orleans Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
36,Monroe County (Central)--Rochester City (West) PUMA,100.0,#DIV/0!,100.0
37,Wayne & Seneca Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
38,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
39,Erie County (North Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",100.0,#DIV/0!,100.0
41,Dutchess County (North & East) PUMA,24.30167597765363,100.0,0.0
42,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",100.0,#DIV/0!,100.0
44,Onondaga County (Central)--Syracuse City PUMA,24.390243902439025,0.0,35.230352303523034
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,64.39393939393939,100.0,0.0
46,Suffolk County (Northwest)--Smithtown Town PUMA,#DIV/0!,#DIV/0!,#DIV/0!
47,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
48,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,18.0811232449298,6.740389678778304,34.57120980091884
49,Onondaga County (Central)--Syracuse City (Outer) PUMA,65.96558317399618,0.0,73.09322033898306
