,puma,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,5.771317554843738,4.342369153134502,7.715601095060783
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.0,0.0,0.0
2,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0
3,Cayuga & Onondaga (South) Counties PUMA,0.0,#DIV/0!,0.0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10.597439544807965,8.68377935554342,14.169215086646277
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",0.0,0.0,0.0
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",3.371161548731642,0.0,7.559880239520958
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,#DIV/0!,0.0
8,Erie County (Northwest) PUMA,0.0,0.0,0.0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,#DIV/0!,#DIV/0!,#DIV/0!
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,#DIV/0!
11,Saratoga County (South & Central) PUMA,0.0,0.0,0.0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,18.425460636515915,18.425460636515915,#DIV/0!
13,Columbia & Greene Counties PUMA,0.0,0.0,#DIV/0!
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.0,0.0,#DIV/0!
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.0,0.0,#DIV/0!
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,10.105263157894736,16.608996539792386,0.0
17,Putnam County PUMA,0.0,0.0,0.0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,0.0,0.0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,7.882324726197138,8.554259455638034,6.4644455494778725
20,Rockland County (North)--New City & Congers PUMA,15.408191696851492,24.307692307692307,0.0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",6.333647502356269,9.745065789473683,3.4458753915767493
22,Orange County (Northwest) PUMA,0.0,0.0,0.0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,5.487804878048781,6.943105110896817,0.0
24,Dutchess County (Southwest) PUMA,0.0,0.0,0.0
25,Westchester County (Northwest) PUMA,0.0,0.0,0.0
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,#DIV/0!
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.0,0.0,0.0
28,Saratoga County (Outer) PUMA,0.0,0.0,#DIV/0!
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.0,0.0,0.0
