,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,385757,232855,152902,50312.79724282385,52139.896957333964,47530.30058468823,96590,44606,51984,72923.5018739,77691.77142088508,68831.98464912281,215701,134567,81134,43823.47620085211,47404.522802767395,37884.03406709887,73466,53682,19784,39638.26858682928,42778.43839648299,31117.716841892438
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",7047,4743,2304,42166.32609621115,42731.625553447186,41002.604166666664,1914,1031,883,64763.63636363636,93936.56644034918,30701.019252548132,4281,2860,1421,33946.50782527447,27260.13986013986,47403.94088669951,852,852,0,32703.63849765258,32703.63849765258,0.0
2,Ulster County (East) PUMA,1188,467,721,30937.794612794612,23138.758029978588,35989.320388349515,488,213,275,34792.62295081967,22759.62441314554,44112.72727272727,617,171,446,25997.244732576986,13000.0,30980.4932735426,83,83,0,45000.0,45000.0,0.0
3,Albany County (East Central)--Albany City PUMA,90,0,90,44540.0,0.0,44540.0,90,0,90,44540.0,0.0,44540.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
5,Ontario & Yates Counties PUMA,133,133,0,50000.0,50000.0,0.0,133,133,0,50000.0,50000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,235,102,133,56055.31914893617,113500.0,12000.0,102,102,0,113500.0,113500.0,0.0,133,0,133,12000.0,0.0,12000.0,0,0,0,#DIV/0!,0.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,5315,3978,1337,67956.98965192851,73494.16792357969,51482.12415856395,1162,880,282,133271.256454389,138362.72727272726,117382.97872340426,2964,2066,898,45568.89338731444,51842.98160696999,31134.298440979954,1189,1032,157,59936.080740117744,61524.22480620155,49496.8152866242
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",159,60,99,66471.69811320755,96000.0,48575.757575757576,102,60,42,99705.88235294117,96000.0,105000.0,0,0,0,#DIV/0!,0.0,0.0,57,0,57,7000.0,0.0,7000.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,348,348,0,24899.42528735632,24899.42528735632,0.0,0,0,0,#DIV/0!,0.0,0.0,155,155,0,31000.0,31000.0,0.0,193,193,0,20000.0,20000.0,0.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",7794,4246,3548,42663.57454452143,39707.701365991525,46200.95828635851,1841,876,965,51762.62900597502,48393.83561643836,54820.72538860104,3980,2326,1654,38209.0703517588,35885.42562338779,41476.78355501814,1973,1044,929,43159.047136340596,40935.249042145595,45658.127018299245
11,Livingston & Wyoming Counties PUMA,298,196,102,25560.40268456376,10178.57142857143,55117.64705882353,219,175,44,21625.570776255707,7200.0,79000.0,58,0,58,37000.0,0.0,37000.0,21,21,0,35000.0,35000.0,0.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,1126,621,505,28477.886323268205,26647.504025764894,30728.712871287127,107,107,0,37000.0,37000.0,0.0,843,514,329,29374.97034400949,24492.412451361866,37003.03951367781,176,0,176,19000.0,0.0,19000.0
