,puma,HSINC_UnEmp_Total,HSINC_FT_Work_Total,HSINC_Poverty_Total,HSINC_Working_Poor_Total,HSINC_Rent_Burden_Total,HSINC_Home_Ownership_Total,HSINC_Avg_PINCP_mf_t
0,Total Geo,6.994550418759235,76.44765401998097,50.780312124849935,38.032183997509335,36.93543045814767,22.966939551967965,24309.281724173135
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,100.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4.575311438278596,85.16880093131547,38.48655680832611,35.265172225259704,5.905006418485238,4.032957502168257,20024.740295243304
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",3.213378145749651,78.48172597005313,49.209189563611176,33.234177864396344,38.86855241264559,29.482738713774392,25789.342496666326
5,Madison & Cortland Counties PUMA,0.0,40.33613445378151,0.0,0.0,0.0,0.0,12000.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,11.55527795128045,57.313037723362015,63.52201257861635,34.98845265588915,39.12855910267472,14.535290006988118,26075.727482678984
7,Dutchess County (Southwest) PUMA,0.0,0.0,66.66666666666666,#DIV/0!,100.0,33.33333333333333,#DIV/0!
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",5.1417689377909435,74.75538160469667,76.81913970497088,81.58813263525305,33.66268697680802,2.868334596916856,17404.59569517161
9,Dutchess County (North & East) PUMA,15.54054054054054,68.8,13.344594594594595,22.96511627906977,100.0,61.6554054054054,25626.45348837209
10,Erie County (Central) PUMA,0.0,79.77099236641222,67.37704918032786,39.71291866028708,100.0,79.50819672131148,25505.741626794257
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,3.7730330505995906,83.09447206785609,29.969914371673223,18.021823301654347,53.43511450381679,66.6512381393196,26333.01654347061
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,0.0,40.16393442622951,#DIV/0!,#DIV/0!,85.24590163934425,#DIV/0!
