,puma,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,21.4131175720933,19.73588298828925,22.866164235174814
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,#DIV/0!,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,42.339544513457554,100.0,8.237232289950576
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4.203670811130847,9.568733153638814,0.0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,100.0,100.0,100.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,100.0,#DIV/0!,100.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,12.931478619268418,7.455853499018966,33.25242718446602
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",100.0,#DIV/0!,100.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,0.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",30.540265035677876,30.87342363381597,30.2821997105644
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,13.131313131313133,12.626451854627202,13.722051731696624
14,Rockland County (North)--New City & Congers PUMA,46.60529344073648,51.7406962785114,41.87845303867404
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",100.0,100.0,100.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,16.747053490480507,14.23495447479458,19.15967581401962
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,35.64094681832155,32.84042689983284,38.20688030160226
18,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
19,Dutchess County (Southwest) PUMA,39.67055593685656,10.26615969581749,74.40119760479041
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,46.05101143359718,56.686868686868685,37.850467289719624
21,Westchester County (Northwest) PUMA,11.799958669146518,0.0,21.35377711293942
22,Albany County (Outside Albany City) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
23,Monroe County (South) PUMA,100.0,100.0,100.0
24,Jefferson & Lewis Counties PUMA,0.0,#DIV/0!,0.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
26,Erie County (Central) PUMA,0.0,#DIV/0!,0.0
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.0,0.0,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,51.64113785557986,0.0,66.1064425770308
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,7.08912037037037,12.816901408450704,3.094302554027505
31,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,100.0,100.0,100.0
33,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,17.90235081374322,0.0,47.82608695652174
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,52.64452644526445,47.05882352941176,55.45286506469501
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,100.0,100.0,100.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",3.9746956314156123,0.0,7.833450952717008
