,puma,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
0,Total Geo,35.370846003208065,35.308913238312755,35.50291298048766
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,#DIV/0!,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,14.555256064690028,0.0,17.792421746293247
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,73.40425531914893,72.52747252747253,100.0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,100.0,100.0,100.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,100.0,#DIV/0!,100.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,17.262830482115085,19.321148825065272,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,100.0,100.0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",2.754644458680333,3.87736699729486,0.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,40.206896551724135,31.21181262729124,59.08119658119658
14,Rockland County (North)--New City & Congers PUMA,80.93716719914804,100.0,0.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",100.0,100.0,#DIV/0!
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,52.19873982672617,53.21653951210323,49.85927689976185
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,53.49597291934166,50.21411578112609,62.643678160919535
18,Tompkins County PUMA,0.0,0.0,#DIV/0!
19,Dutchess County (Southwest) PUMA,26.362484157160964,26.362484157160964,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,35.66246659030164,37.22345132743363,32.182490752157825
21,Westchester County (Northwest) PUMA,33.4388603086664,42.810457516339866,19.05717151454363
22,Albany County (Outside Albany City) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
23,Monroe County (South) PUMA,31.952017448200653,54.811715481171554,23.893805309734514
24,Jefferson & Lewis Counties PUMA,71.96969696969697,0.0,100.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
26,Erie County (Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,100.0,#DIV/0!,100.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",39.31120074464785,31.48464163822526,43.78352023403218
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,12.624254473161034,0.0,26.266804550155122
31,Cayuga & Onondaga (South) Counties PUMA,0.0,0.0,#DIV/0!
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
33,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,100.0,100.0,#DIV/0!
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,54.752851711026615,67.9245283018868,0.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,76.11111111111111,76.11111111111111,#DIV/0!
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",42.126485568760614,32.36627379873073,65.14611546685674
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,29.39579090291921,30.330477356181152,27.282789153292754
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",7.072691552062868,7.072691552062868,#DIV/0!
41,Suffolk County (Central)--Islip Town (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",6.41025641025641,0.0,6.944444444444445
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",30.83377495142201,35.52406547764476,18.590561224489797
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,23.882171549135762,22.529979836570092,28.27586206896552
45,Saratoga County (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",28.832951945080094,29.976209357652657,0.0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",38.734869191721984,35.49172346640701,51.87376725838264
48,Wayne & Seneca Counties PUMA,0.0,0.0,#DIV/0!
49,Schenectady County--Schenectady City PUMA,77.91666666666667,0.0,100.0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,69.61194029850746,73.49304482225656,56.43044619422572
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,8.849557522123893,23.391812865497073,0.0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",0.0,0.0,0.0
54,Columbia & Greene Counties PUMA,0.0,0.0,#DIV/0!
55,Rensselaer County--Troy City PUMA,100.0,100.0,#DIV/0!
56,Erie County (West Central)--Buffalo City (West) PUMA,91.95804195804196,100.0,62.903225806451616
57,Erie County (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,56.25,0.0,84.03614457831326
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",40.04671947999188,23.57624004898959,56.3573883161512
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,53.087986463620986,55.80436063641721,46.17691154422789
61,NYC-Manhattan Community District 10--Central Harlem PUMA,0.0,0.0,0.0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,42.194744976816075,33.572281959378735,57.98687089715536
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,37.53581661891118,37.53581661891118,#DIV/0!
64,Albany County (East Central)--Albany City PUMA,51.28205128205128,0.0,100.0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,55.618431689571544,64.7834274952919,0.0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",13.660555884092254,18.475639170284612,6.035141329258977
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",61.52116131670415,68.0965909090909,44.63894967177243
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",27.762506871907643,21.420765027322407,34.18141592920354
70,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
71,NYC-Manhattan Community District 11--East Harlem PUMA,12.446351931330472,12.446351931330472,#DIV/0!
72,Orange County (Southeast) PUMA,100.0,100.0,#DIV/0!
73,Westchester County (Southeast) PUMA,13.876651982378855,30.14354066985646,0.0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,17.963721474546517,24.791418355184742,11.379310344827587
75,Livingston & Wyoming Counties PUMA,0.0,0.0,0.0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.0,#DIV/0!,0.0
77,Westchester County (Southwest)--Yonkers City PUMA,44.03236682400539,48.26311899482631,0.0
78,Erie County (North Central) PUMA,100.0,#DIV/0!,100.0
79,Saratoga County (South & Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.0,0.0,0.0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",#DIV/0!,#DIV/0!,#DIV/0!
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
83,Niagara County (North & East) PUMA,0.0,0.0,#DIV/0!
84,Monroe County (Central)--Rochester City (East) PUMA,10.53864168618267,0.0,45.45454545454545
85,Warren & Washington Counties PUMA,0.0,0.0,#DIV/0!
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,86.0724233983287,82.29043683589138,100.0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,100.0,100.0,100.0
88,Onondaga County (Central)--Syracuse City PUMA,7.150595882990249,12.915851272015654,0.0
89,Westchester County (Central)--White Plains City PUMA,23.503434739941117,31.554677206851117,0.0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,0.7575757575757576,0.0,3.2846715328467155
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",46.72867728204319,51.21703853955375,31.068648266100496
92,Cattaraugus & Allegany Counties PUMA,45.83333333333333,0.0,100.0
93,Oswego County PUMA,0.0,0.0,#DIV/0!
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",25.08214676889376,24.9269717624148,25.547445255474454
95,Monroe County (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,42.624618514750765,53.683536194746964,0.0
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",25.179856115107913,25.179856115107913,#DIV/0!
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",46.85172647257955,40.892696122633005,64.80978260869566
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",21.761658031088082,100.0,0.0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",49.22118380062305,54.68895078922934,20.77294685990338
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,#DIV/0!
102,Chautauqua County PUMA,0.0,0.0,0.0
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,20.194986072423397,23.923444976076556,18.664047151277014
104,Erie County (West Central)--Buffalo City (East) PUMA,0.0,0.0,#DIV/0!
105,Genesee & Orleans Counties PUMA,0.0,0.0,0.0
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",25.663716814159294,0.0,77.33333333333333
107,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0.0,#DIV/0!,0.0
108,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,66.34146341463415,#DIV/0!,66.34146341463415
109,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",57.74617067833698,44.827586206896555,93.78109452736318
110,Suffolk County (East) PUMA,64.28571428571429,64.28571428571429,#DIV/0!
111,Orange County (Northwest) PUMA,0.0,0.0,#DIV/0!
112,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,#DIV/0!,#DIV/0!,#DIV/0!
113,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",22.047738693467338,23.1369150779896,19.17808219178082
114,Suffolk County (Northwest)--Smithtown Town PUMA,0.0,#DIV/0!,0.0
115,Ulster County (East) PUMA,0.0,0.0,#DIV/0!
116,Westchester County (Northeast) PUMA,17.957351290684624,17.957351290684624,#DIV/0!
117,NYC-Brooklyn Community District 4--Bushwick PUMA,31.723956966675416,21.96806214933103,46.85408299866131
118,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,35.389516362583265,33.69663941871026,38.36930455635492
119,Dutchess County (North & East) PUMA,100.0,100.0,#DIV/0!
120,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,25.148683092608326,25.336191775482362,24.83912483912484
121,Broome (Outer West) & Tioga Counties PUMA,100.0,100.0,#DIV/0!
122,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",0.0,0.0,0.0
123,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",0.0,#DIV/0!,0.0
124,Orange County (Northeast)--Greater Newburgh City PUMA,0.0,0.0,0.0
125,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",82.57668711656441,100.0,73.15689981096408
126,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,64.797507788162,100.0,49.77777777777778
127,Onondaga County (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
128,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.0,0.0,0.0
129,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
130,Sullivan & Ulster (West) Counties PUMA,8.51063829787234,14.746543778801843,0.0
131,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,28.94168466522678,62.03703703703704,0.0
132,Suffolk County (Northwest)--Huntington Town (North) PUMA,39.26661573720398,43.01255230125523,0.0
133,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",16.47366454986926,12.19626168224299,33.5195530726257
