,puma,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,33.09377670732655,28.665326742354285,37.12878637893486
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,60.13240161824201,#DIV/0!,60.13240161824201
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,19.389587073608617,#DIV/0!,19.389587073608617
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,27.317676143386898,24.14307004470939,29.567053854276665
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,13.136094674556212,15.68904593639576,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,100.0,100.0,100.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",11.5730685696556,0.0,21.39988525530694
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,37.395348837209305,27.787307032590054,48.78048780487805
14,Rockland County (North)--New City & Congers PUMA,60.129310344827594,100.0,29.65779467680608
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,34.84340288365205,26.765061280856205,43.074487731949695
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,32.27304158846192,27.385302476654488,36.9059072541851
18,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
19,Dutchess County (Southwest) PUMA,23.66325369738339,29.37853107344633,0.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,16.415914409896356,4.197761194029851,23.241271495570608
21,Westchester County (Northwest) PUMA,51.89784442361762,52.3325635103926,51.45030908226344
22,Albany County (Outside Albany City) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
23,Monroe County (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
24,Jefferson & Lewis Counties PUMA,0.0,#DIV/0!,0.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
26,Erie County (Central) PUMA,0.0,#DIV/0!,0.0
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
