,puma,HSINC_UnEmp_Total,HSINC_FT_Work_Total,HSINC_Poverty_Total,HSINC_Working_Poor_Total,HSINC_Rent_Burden_Total,HSINC_Home_Ownership_Total,HSINC_Avg_PINCP_mf_t
0,Total Geo,5.347936151694949,74.10563003151694,45.34987286703214,30.474795571658138,33.20268484666705,23.89162634555954,29746.842491840565
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.0,93.65279529213956,51.118296954998655,44.92818671454219,19.7979797979798,5.637254901960785,26167.684021543984
2,Ulster County (East) PUMA,0.0,63.23529411764706,58.61751152073733,49.501661129568106,0.0,59.723502304147466,27624.584717607973
3,Albany County (East Central)--Albany City PUMA,10.909090909090908,100.0,0.0,0.0,0.0,15.454545454545453,31234.69387755102
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,100.0,0.0,0.0,#DIV/0!,100.0,29300.0
5,Ontario & Yates Counties PUMA,0.0,100.0,0.0,0.0,#DIV/0!,100.0,24500.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,100.0,90.53627760252367,100.0,#DIV/0!,100.0,40000.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,8.664021164021165,85.51774076755973,37.642276422764226,11.43099068585944,32.529118136439266,2.2764227642276422,97791.27857747671
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,100.0,58.06451612903226,58.06451612903226,#DIV/0!,100.0,23535.483870967742
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,22.37442922374429,87.35483870967742,52.663622526636225,22.599704579025108,21.893491124260358,87.13850837138509,21960.709010339735
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",15.010309278350514,78.89787885414388,53.755063882829546,40.243902439024396,37.92408464897548,1.2174184485718746,27186.252771618627
11,Livingston & Wyoming Counties PUMA,0.0,100.0,0.0,0.0,#DIV/0!,#DIV/0!,25000.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.0,48.22107550244432,49.880593915481256,38.38355392847085,29.3233883857219,2.5542518949226456,20670.712475359054
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,4.3604651162790695,84.01162790697676,47.79369627507163,61.93771626297578,80.74766355140187,69.34097421203438,25152.249134948095
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,68.26568265682657,100.0,59.82339955849889,38.73873873873874,0.0,40.1766004415011,19690.09009009009
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,34.36426116838488,15.72052401746725,0.0,52.17391304347826,69.86899563318777,26156.0
16,Monroe County (Central)--Rochester City (East) PUMA,0.0,64.28571428571429,72.55400254129606,0.0,18.059701492537314,3.45821325648415,31781.48148148148
17,Westchester County (Northwest) PUMA,0.0,86.63121914166351,36.46963123644252,33.68959107806692,60.73529411764705,25.925925925925924,25288.206926786497
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,100.0,62.5242718446602,47.81931464174455,26.058631921824105,0.0,14425.856697819314
