,puma,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,30.232481147691743,26.811241610738257,32.904028824107435
1,Monroe County (Central)--Rochester City (East) PUMA,18.197278911564627,0.0,20.857699805068226
2,NYC-Brooklyn Community District 4--Bushwick PUMA,35.575079872204476,36.8796992481203,34.61111111111111
3,NYC-Manhattan Community District 10--Central Harlem PUMA,25.431425976385103,46.901172529313236,0.0
4,Ontario & Yates Counties PUMA,100.0,#DIV/0!,100.0
5,Albany County (Outside Albany City) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,20.273192942515653,16.804979253112034,23.656397571396447
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",0.0,0.0,0.0
9,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
10,Erie County (North Central) PUMA,70.24793388429752,70.24793388429752,#DIV/0!
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",21.132596685082873,#DIV/0!,21.132596685082873
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,#DIV/0!,0.0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.0,0.0,0.0
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,35.49618320610687,0.0,51.66666666666667
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,36.88792165397171,31.557377049180328,38.81481481481481
16,Onondaga County (Central)--Syracuse City PUMA,13.046544428772918,0.0,22.5609756097561
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,#DIV/0!,#DIV/0!,#DIV/0!
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",45.38731023744648,32.41525423728814,61.31830008673027
20,Monroe County (Central)--Rochester City (West) PUMA,0.0,0.0,0.0
21,"Chenango, Delaware & Broome (East) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
22,Dutchess County (North & East) PUMA,0.0,0.0,#DIV/0!
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,34.851715448730374,37.205712080277884,32.476635514018696
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,67.87648970747561,72.81437125748504,63.798219584569736
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,39.276018099547514,#DIV/0!,39.276018099547514
26,Westchester County (Southeast) PUMA,31.000518403317784,35.70680628272251,26.386036960985628
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,38.8997268825595,46.4699683877766,34.44857496902107
28,Westchester County (Northwest) PUMA,67.89890607317993,60.80074487895717,72.73303741280913
29,Monroe County (South) PUMA,42.357642357642355,0.0,54.498714652956295
30,Rockland County (North)--New City & Congers PUMA,81.06060606060606,0.0,100.0
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",35.196983487192824,16.909871244635195,43.14493564633464
32,Orange County (Southeast) PUMA,4.545454545454546,4.545454545454546,#DIV/0!
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",18.089196462898887,20.825298881604322,15.369873514756613
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.0,#DIV/0!,0.0
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",33.00604229607251,27.514792899408285,38.73456790123457
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,16.65630826600373,11.426116838487973,19.62025316455696
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,0.0,#DIV/0!,0.0
38,Westchester County (Southwest)--Yonkers City PUMA,26.59086741243352,22.071861875874944,29.516616314199396
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.0,0.0,0.0
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,34.76977567886659,60.33810143042913,13.513513513513514
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,9.46521533364884,13.68366285119667,5.946180555555555
42,Erie County (West Central)--Buffalo City (West) PUMA,56.95777351247601,51.499482936918305,61.68307967770814
43,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
44,Westchester County (Central)--White Plains City PUMA,28.99525316455696,37.900723888314374,0.0
45,St. Lawrence County PUMA,27.27272727272727,0.0,32.926829268292686
46,Saratoga County (South & Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.0,0.0,#DIV/0!
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,#DIV/0!
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,88.46641318124207,100.0,84.47098976109216
50,Suffolk County (Central)--Islip Town (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,0.0,0.0
52,Westchester County (Northeast) PUMA,100.0,#DIV/0!,100.0
53,Chautauqua County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
54,Erie County (West Central)--Buffalo City (East) PUMA,66.58031088082902,#DIV/0!,66.58031088082902
55,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,28.584392014519054,28.598130841121495,28.57142857142857
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,0.0,#DIV/0!,0.0
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",100.0,#DIV/0!,100.0
59,NYC-Manhattan Community District 11--East Harlem PUMA,1.8595703751202306,0.0,4.08738548273432
60,Schenectady County--Schenectady City PUMA,41.42259414225941,100.0,0.0
61,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,0.0,0.0
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",40.43243243243243,55.09181969949917,13.496932515337424
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",#DIV/0!,#DIV/0!,#DIV/0!
65,Onondaga County (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
66,Ulster County (East) PUMA,100.0,#DIV/0!,100.0
67,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
68,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
69,Broome (Outer West) & Tioga Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
70,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",41.08201581027668,46.83698296836983,37.14642262895175
71,Suffolk County (Southwest)--Islip Town (South) PUMA,100.0,#DIV/0!,100.0
72,Erie County (Central) PUMA,0.0,#DIV/0!,0.0
73,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",45.067160722556736,34.166666666666664,52.00909780136467
74,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!
75,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,0.0,0.0,#DIV/0!
76,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",7.803468208092486,31.03448275862069,0.0
77,Cattaraugus & Allegany Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
78,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",37.56182514803205,34.18444481773896,39.95477267317305
79,Jefferson & Lewis Counties PUMA,0.0,#DIV/0!,0.0
80,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",22.07792207792208,#DIV/0!,22.07792207792208
81,NYC-Queens Community District 1--Astoria & Long Island City PUMA,26.37979420018709,20.684736091298145,29.15796798886569
82,Saratoga County (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
83,Dutchess County (Southwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
84,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
85,Genesee & Orleans Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
86,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
87,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",26.626065773447017,21.264660887302398,31.529850746268657
88,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,21.45985401459854,0.0,26.156583629893237
89,Nassau County (West Central)--Hempstead Town (West Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
90,Suffolk County (South Central)--Brookhaven Town (South) PUMA,39.54849498327759,0.0,61.348897535667966
91,Orange County (Northeast)--Greater Newburgh City PUMA,0.0,0.0,0.0
92,Sullivan & Ulster (West) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
93,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",0.0,0.0,0.0
94,Wayne & Seneca Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
95,Albany County (East Central)--Albany City PUMA,61.257035647279544,83.19327731092437,43.559322033898304
96,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,0.0,0.0
97,Rensselaer County--Troy City PUMA,58.70646766169154,0.0,100.0
98,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
99,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,47.682119205298015,#DIV/0!,47.682119205298015
100,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,21.29265850088591,15.79253232602063,27.50081994096425
101,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,35.20923520923521,41.503146982599034,29.229686950404503
102,Columbia & Greene Counties PUMA,0.0,0.0,0.0
103,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
104,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,10.762800417972832,9.751434034416825,11.981566820276496
