,puma,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
0,Total Geo,33.91390627385132,30.74348573622448,38.86542572605454
1,Monroe County (Central)--Rochester City (East) PUMA,21.485943775100402,#DIV/0!,21.485943775100402
2,NYC-Brooklyn Community District 4--Bushwick PUMA,29.06542056074766,33.53315848632447,21.663563004345125
3,NYC-Manhattan Community District 10--Central Harlem PUMA,100.0,#DIV/0!,100.0
4,Ontario & Yates Counties PUMA,0.0,0.0,#DIV/0!
5,Albany County (Outside Albany City) PUMA,100.0,#DIV/0!,100.0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,25.770853618954888,21.05016408813877,36.392405063291136
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",0.0,0.0,0.0
9,Warren & Washington Counties PUMA,0.0,0.0,#DIV/0!
10,Erie County (North Central) PUMA,0.0,0.0,#DIV/0!
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",32.00836820083682,#DIV/0!,32.00836820083682
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.0,#DIV/0!,0.0
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,#DIV/0!
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,49.01960784313725,#DIV/0!,49.01960784313725
16,Onondaga County (Central)--Syracuse City PUMA,39.64705882352941,38.46153846153847,48.95833333333333
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,20.052770448548813,22.788605697151425,0.0
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,0.0,0.0
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",17.46724890829694,0.0,57.55395683453237
20,Monroe County (Central)--Rochester City (West) PUMA,0.0,0.0,0.0
21,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0
22,Dutchess County (North & East) PUMA,51.28205128205128,64.51612903225806,0.0
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,51.74587778855481,50.70146818923328,54.768649669499524
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,73.07692307692307,0.0,100.0
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,45.11278195488722,#DIV/0!,45.11278195488722
26,Westchester County (Southeast) PUMA,51.0146955913226,32.75696445725264,100.0
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,17.946915099314467,12.76297335203366,26.64783427495292
28,Westchester County (Northwest) PUMA,58.17120622568094,52.98087739032621,65.23736600306279
29,Monroe County (South) PUMA,13.461538461538462,39.62264150943396,0.0
30,Rockland County (North)--New City & Congers PUMA,35.48922056384743,#DIV/0!,35.48922056384743
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",46.25615763546798,36.67557932263815,58.09471365638766
32,Orange County (Southeast) PUMA,4.931972789115646,4.931972789115646,#DIV/0!
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",38.40665873959572,50.86614173228347,0.0
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,30.76923076923077,0.0,100.0
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",76.79465776293823,79.10828025477707,72.39709443099274
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,3.523382447149263,0.0,10.377358490566039
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,0.0,0.0,0.0
38,Westchester County (Southwest)--Yonkers City PUMA,31.97167755991285,24.21734436847787,56.10302351623741
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",100.0,#DIV/0!,100.0
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,38.43329253365973,35.03184713375796,43.0635838150289
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,20.0,20.69271758436945,18.09290953545232
42,Erie County (West Central)--Buffalo City (West) PUMA,67.68447837150127,58.76623376623377,100.0
43,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
44,Westchester County (Central)--White Plains City PUMA,20.964527700278996,26.919140225179124,0.0
45,St. Lawrence County PUMA,0.0,0.0,#DIV/0!
46,Saratoga County (South & Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.0,0.0,#DIV/0!
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,#DIV/0!
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,100.0,#DIV/0!,100.0
50,Suffolk County (Central)--Islip Town (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,0.0,#DIV/0!
52,Westchester County (Northeast) PUMA,0.0,0.0,0.0
53,Chautauqua County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
54,Erie County (West Central)--Buffalo City (East) PUMA,0.0,0.0,0.0
55,Cayuga & Onondaga (South) Counties PUMA,0.0,0.0,#DIV/0!
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,34.146341463414636,58.507462686567166,0.0
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,0.0,#DIV/0!,0.0
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,#DIV/0!
59,NYC-Manhattan Community District 11--East Harlem PUMA,40.89450032099294,42.705217680292456,37.62019230769231
60,Schenectady County--Schenectady City PUMA,0.0,0.0,#DIV/0!
61,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,#DIV/0!
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,25.304878048780488,0.0,100.0
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",16.9481981981982,0.0,31.885593220338983
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",58.204334365325074,72.86821705426357,0.0
65,Onondaga County (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
66,Ulster County (East) PUMA,0.0,#DIV/0!,0.0
67,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
68,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
69,Broome (Outer West) & Tioga Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
70,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",52.31382978723404,51.94152581087255,52.83259070655634
71,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,#DIV/0!
72,Erie County (Central) PUMA,0.0,0.0,0.0
73,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",54.00144196106705,27.200000000000003,85.55729984301414
74,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!
75,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,0.0,0.0,0.0
76,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",51.39664804469274,31.67082294264339,67.4089068825911
77,Cattaraugus & Allegany Counties PUMA,0.0,0.0,0.0
78,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",31.41236435383098,33.28125,28.84465261514442
79,Jefferson & Lewis Counties PUMA,0.0,0.0,0.0
80,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",0.0,#DIV/0!,0.0
81,NYC-Queens Community District 1--Astoria & Long Island City PUMA,11.965065502183405,6.329113924050633,17.22972972972973
82,Saratoga County (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
83,Dutchess County (Southwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
84,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
85,Genesee & Orleans Counties PUMA,100.0,#DIV/0!,100.0
86,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
87,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",16.34651600753296,10.430170889805538,26.826722338204593
88,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,88.25,100.0,84.69055374592834
89,Nassau County (West Central)--Hempstead Town (West Central) PUMA,0.0,0.0,0.0
90,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.0,0.0,0.0
91,Orange County (Northeast)--Greater Newburgh City PUMA,21.57153446997776,31.664853101196954,0.0
92,Sullivan & Ulster (West) Counties PUMA,0.0,#DIV/0!,0.0
93,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",12.455516014234876,11.069182389937108,15.80547112462006
94,Wayne & Seneca Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
95,Albany County (East Central)--Albany City PUMA,16.94915254237288,100.0,0.0
96,Nassau County (Northwest)--North Hempstead Town (North) PUMA,11.397058823529411,0.0,16.986301369863014
97,Rensselaer County--Troy City PUMA,0.0,0.0,#DIV/0!
98,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
99,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,30.803177405119154,0.0,51.857355126300156
100,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,24.586173320350536,18.585549213420578,38.54875283446712
101,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,30.506252521177895,26.459948320413435,36.21989783507662
