,puma,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,4.982530033982674,4.137184535138826,6.011745767808812
1,Monroe County (Central)--Rochester City (East) PUMA,34.40860215053764,0.0,35.48983364140481
2,NYC-Brooklyn Community District 4--Bushwick PUMA,4.829258436047686,8.947959565705728,0.0
3,NYC-Manhattan Community District 10--Central Harlem PUMA,0.0,#DIV/0!,0.0
4,Ontario & Yates Counties PUMA,0.0,0.0,0.0
5,Albany County (Outside Albany City) PUMA,0.0,#DIV/0!,0.0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,4.051323499696909,7.01171533484875,0.0
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",14.814814814814813,0.0,27.00729927007299
9,Warren & Washington Counties PUMA,0.0,0.0,#DIV/0!
10,Erie County (North Central) PUMA,0.0,0.0,#DIV/0!
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",0.0,#DIV/0!,0.0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.0,#DIV/0!,0.0
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,#DIV/0!
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,0.0
16,Onondaga County (Central)--Syracuse City PUMA,14.826498422712934,11.606096131301289,21.44578313253012
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.0,0.0,0.0
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,13.708260105448156,16.216216216216218,0.0
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.0,0.0,0.0
20,Monroe County (Central)--Rochester City (West) PUMA,23.364485981308412,73.96449704142012,0.0
21,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0
22,Dutchess County (North & East) PUMA,0.0,0.0,0.0
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,7.681782642689601,5.870206489675516,11.239860950173812
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.0,0.0,0.0
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,0.0,#DIV/0!,0.0
26,Westchester County (Southeast) PUMA,5.661375661375661,0.0,12.603062426383982
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,0.0,0.0,0.0
28,Westchester County (Northwest) PUMA,5.028219599794767,0.0,10.272536687631026
29,Monroe County (South) PUMA,0.0,0.0,0.0
30,Rockland County (North)--New City & Congers PUMA,0.0,0.0,0.0
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",9.780274244176441,8.780487804878048,10.464792652379627
32,Orange County (Southeast) PUMA,7.836990595611286,7.836990595611286,#DIV/0!
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",2.4457352491592785,0.0,10.695187165775401
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.0,0.0,0.0
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",4.274307186472522,0.0,12.834978843441466
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,0.0,0.0,0.0
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,0.0,0.0,0.0
38,Westchester County (Southwest)--Yonkers City PUMA,5.271216097987751,0.0,13.441160066926939
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.0,0.0,0.0
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,18.20469798657718,12.027972027972028,27.463312368972748
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.0,0.0,0.0
42,Erie County (West Central)--Buffalo City (West) PUMA,15.936507936507937,15.306122448979592,17.794486215538846
43,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
44,Westchester County (Central)--White Plains City PUMA,7.931446791550418,10.184237461617196,0.0
45,St. Lawrence County PUMA,82.82828282828282,0.0,100.0
46,Saratoga County (South & Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.0,0.0,#DIV/0!
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,#DIV/0!
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,76.30208333333334,#DIV/0!,76.30208333333334
50,Suffolk County (Central)--Islip Town (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,0.0,#DIV/0!
52,Westchester County (Northeast) PUMA,0.0,0.0,0.0
53,Chautauqua County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
54,Erie County (West Central)--Buffalo City (East) PUMA,0.0,0.0,0.0
55,Cayuga & Onondaga (South) Counties PUMA,0.0,0.0,#DIV/0!
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,21.04539202200825,31.352459016393443,0.0
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,0.0,#DIV/0!,0.0
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,#DIV/0!
59,NYC-Manhattan Community District 11--East Harlem PUMA,7.623318385650224,11.284271284271284,0.0
60,Schenectady County--Schenectady City PUMA,0.0,0.0,#DIV/0!
61,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,#DIV/0!
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,0.0,0.0
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",14.966273187183813,19.137254901960784,10.118505013673655
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",0.0,0.0,0.0
65,Onondaga County (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
66,Ulster County (East) PUMA,0.0,#DIV/0!,0.0
67,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
68,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
69,Broome (Outer West) & Tioga Counties PUMA,0.0,0.0,#DIV/0!
70,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",0.0,0.0,0.0
71,Suffolk County (Southwest)--Islip Town (South) PUMA,100.0,100.0,#DIV/0!
72,Erie County (Central) PUMA,0.0,0.0,0.0
73,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",0.0,0.0,0.0
74,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!
75,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,0.0,0.0,0.0
76,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",0.0,0.0,0.0
77,Cattaraugus & Allegany Counties PUMA,0.0,0.0,0.0
78,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.25355958650282817,0.0,0.561070349589987
79,Jefferson & Lewis Counties PUMA,0.0,0.0,0.0
80,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",0.0,#DIV/0!,0.0
81,NYC-Queens Community District 1--Astoria & Long Island City PUMA,4.851556842867487,9.896602658788774,0.0
82,Saratoga County (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
83,Dutchess County (Southwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
84,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
85,Genesee & Orleans Counties PUMA,100.0,#DIV/0!,100.0
86,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
87,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",0.0,0.0,0.0
88,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,0.0,0.0,0.0
89,Nassau County (West Central)--Hempstead Town (West Central) PUMA,0.0,0.0,0.0
90,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.0,0.0,0.0
91,Orange County (Northeast)--Greater Newburgh City PUMA,0.0,0.0,0.0
