,puma,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,45.34987286703214,37.20280454131058,51.96667518963607
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",51.118296954998655,33.603896103896105,68.49168008588299
2,Ulster County (East) PUMA,58.61751152073733,39.892904953145916,100.0
3,Albany County (East Central)--Albany City PUMA,0.0,0.0,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,#DIV/0!,0.0
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,90.53627760252367,100.0,82.45614035087719
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,37.642276422764226,34.2400946185689,45.123537061118334
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",58.06451612903226,0.0,100.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,52.663622526636225,39.09531502423263,64.74820143884892
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",53.755063882829546,37.73259820813232,66.97952218430035
11,Livingston & Wyoming Counties PUMA,0.0,0.0,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,49.880593915481256,43.776563448694596,53.05349534480038
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,47.79369627507163,0.0,54.9407114624506
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,59.82339955849889,100.0,50.40871934604905
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,15.72052401746725,0.0,22.857142857142858
16,Monroe County (Central)--Rochester City (East) PUMA,72.55400254129606,45.0,79.58532695374801
17,Westchester County (Northwest) PUMA,36.46963123644252,36.697722567287784,36.21867881548975
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,62.5242718446602,#DIV/0!,62.5242718446602
19,Onondaga County (Central)--Syracuse City PUMA,58.37173579109063,46.380471380471384,68.4322033898305
20,Westchester County (Northeast) PUMA,90.63876651982379,73.18611987381703,100.0
21,Madison & Cortland Counties PUMA,0.0,0.0,#DIV/0!
22,Erie County (West Central)--Buffalo City (West) PUMA,62.6628895184136,55.72289156626506,66.84831970935512
23,Monroe County (Central)--Rochester City (West) PUMA,82.90766208251473,87.58782201405153,79.52622673434855
24,Suffolk County (Central)--Islip Town (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,0.0,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",62.09239130434783,53.12563632661372,69.27720672214063
27,St. Lawrence County PUMA,0.0,#DIV/0!,0.0
28,Columbia & Greene Counties PUMA,0.0,#DIV/0!,0.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,31.868131868131865,41.31455399061033,22.87756925826631
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",17.77777777777778,15.0749063670412,20.42124542124542
31,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
32,Schenectady County--Schenectady City PUMA,0.0,0.0,0.0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",19.598906107566087,0.0,53.75
34,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,60.796139927623635,0.0,87.04663212435233
36,Suffolk County (East) PUMA,22.762148337595907,0.0,38.034188034188034
37,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,22.569239835002946,18.21366024518389,24.77797513321492
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",54.3640897755611,0.0,68.125
40,Westchester County (Central)--White Plains City PUMA,42.36111111111111,22.833495618305744,83.71134020618557
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",60.832490244254956,42.78975741239892,74.38623133383953
42,Erie County (North Central) PUMA,36.89400164338537,33.33333333333333,38.20224719101123
43,Chautauqua County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
