,puma,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,33.20268484666705,28.485787656070134,37.18420187161778
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",19.7979797979798,0.0,41.42512077294686
2,Ulster County (East) PUMA,0.0,0.0,#DIV/0!
3,Albany County (East Central)--Albany City PUMA,0.0,0.0,#DIV/0!
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,32.529118136439266,25.7244234180958,48.66760168302945
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,21.893491124260358,0.0,100.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",37.92408464897548,23.822714681440445,48.322147651006716
11,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,29.3233883857219,27.504553734061933,30.30701034312921
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,80.74766355140187,100.0,78.9795918367347
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.0,0.0,#DIV/0!
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,52.17391304347826,0.0,100.0
16,Monroe County (Central)--Rochester City (East) PUMA,18.059701492537314,0.0,23.72549019607843
17,Westchester County (Northwest) PUMA,60.73529411764705,60.212907518296745,61.38044371405095
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,26.058631921824105,#DIV/0!,26.058631921824105
19,Onondaga County (Central)--Syracuse City PUMA,15.807730426164518,0.0,24.921875
20,Westchester County (Northeast) PUMA,0.0,#DIV/0!,0.0
21,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
22,Erie County (West Central)--Buffalo City (West) PUMA,13.805742211362249,16.585365853658537,12.13307240704501
23,Monroe County (Central)--Rochester City (West) PUMA,0.0,0.0,0.0
24,Suffolk County (Central)--Islip Town (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",45.342205323193916,42.66064904362777,47.46889381285154
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
28,Columbia & Greene Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,0.0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",21.061415220293725,5.075845974329055,42.43369734789392
31,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
32,Schenectady County--Schenectady City PUMA,#DIV/0!,#DIV/0!,#DIV/0!
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.0,0.0,0.0
34,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,100.0,#DIV/0!,100.0
36,Suffolk County (East) PUMA,0.0,#DIV/0!,0.0
37,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,14.964788732394366,0.0,19.906323185011708
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",54.3640897755611,0.0,68.125
40,Westchester County (Central)--White Plains City PUMA,50.24311183144247,36.831275720164605,100.0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",10.722275487376159,3.6211699164345403,16.745422327229768
42,Erie County (North Central) PUMA,27.12700369913687,0.0,45.45454545454545
43,Chautauqua County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
44,Dutchess County (Southwest) PUMA,0.0,#DIV/0!,0.0
45,Westchester County (Southeast) PUMA,61.595273264401776,76.61016949152543,50.0
46,Rockland County (North)--New City & Congers PUMA,100.0,#DIV/0!,100.0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,94.57627118644068,100.0,71.68141592920354
48,Suffolk County (Southwest)--Islip Town (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
49,Erie County (West Central)--Buffalo City (East) PUMA,100.0,100.0,100.0
50,Wayne & Seneca Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
51,Monroe County (South) PUMA,0.0,#DIV/0!,0.0
52,Tompkins County PUMA,0.0,0.0,0.0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,100.0,#DIV/0!,100.0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,#DIV/0!,0.0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,#DIV/0!,0.0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.0,#DIV/0!,0.0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",10.86528545982938,2.8025200955898324,16.985488126649077
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,37.20136518771331,0.0,48.33702882483371
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",71.61874334398296,58.95765472312704,77.76898734177216
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,56.39431616341031,55.04724017901541,58.37600585223116
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",0.0,0.0,0.0
62,Saratoga County (South & Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
63,Cattaraugus & Allegany Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
64,Genesee & Orleans Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
65,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
66,Sullivan & Ulster (West) Counties PUMA,0.0,0.0,0.0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",52.459016393442624,33.5538954108858,64.9548532731377
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.0,#DIV/0!,0.0
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,45.604606525911706,67.17663421418636,37.38069989395546
70,Jefferson & Lewis Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,#DIV/0!,0.0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,22.22222222222222,21.697549312612075,22.62505736576411
73,Orange County (Northeast)--Greater Newburgh City PUMA,0.0,0.0,0.0
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",40.7041383570105,56.26715462031107,8.365019011406844
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",36.26752470696392,34.22301304863583,37.5609756097561
76,Erie County (Central) PUMA,100.0,#DIV/0!,100.0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",57.05222059541239,72.22222222222221,45.16971279373368
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",26.87699680511182,32.78463648834019,18.64244741873805
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",60.27769393299125,42.17758985200846,67.5116180819603
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,8.333333333333332,0.0,9.791921664626683
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,0.0,#DIV/0!
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,#DIV/0!
83,"Chenango, Delaware & Broome (East) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
84,Orange County (Northwest) PUMA,0.0,#DIV/0!,0.0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,25.474932152549634,21.8767274737424,29.323086018326926
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,68.26086956521739,100.0,45.6575682382134
87,Dutchess County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
88,Putnam County PUMA,0.0,0.0,0.0
89,Albany County (Outside Albany City) PUMA,0.0,#DIV/0!,0.0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",100.0,100.0,100.0
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,19.468186134852804,8.181315644002211,34.59259259259259
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",47.28786251342642,26.545842217484005,68.34415584415584
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,100.0,100.0,#DIV/0!
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
95,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
96,Rensselaer County--Troy City PUMA,0.0,0.0,#DIV/0!
97,Saratoga County (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0.0,#DIV/0!,0.0
99,Monroe County (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",68.97321428571429,57.878787878787875,100.0
101,Erie County (South) PUMA,100.0,#DIV/0!,100.0
102,Monroe County (Central)--Greece & Gates Towns PUMA,100.0,#DIV/0!,100.0
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,#DIV/0!,0.0
104,NYC-Manhattan Community District 11--East Harlem PUMA,12.638580931263856,9.182935647143891,16.250944822373395
105,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",43.5278834555071,48.21580288870008,39.891250617894215
106,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,20.16925246826516,43.786982248520715,12.777777777777777
107,Onondaga County (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
108,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,35.57692307692308,30.674342105263158,40.234375
109,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",0.0,0.0,#DIV/0!
110,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,58.26302729528536,51.74825174825175,60.84546084546084
111,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",25.726265348906857,13.716295427901523,38.27311696264544
112,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
113,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,37.52577319587629,0.0,54.90196078431373
114,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,14.685915613989861,9.471714409097451,22.409381663113006
115,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
116,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!
117,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0.0,#DIV/0!,0.0
118,NYC-Brooklyn Community District 4--Bushwick PUMA,48.2815734989648,58.91252955082742,40.0
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",28.37758112094395,100.0,8.927231807951989
120,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",73.8255033557047,100.0,56.17977528089888
121,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,13.969404186795492,11.668681983071343,18.55421686746988
122,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,0.0,0.0,0.0
123,Suffolk County (Northwest)--Huntington Town (North) PUMA,20.345075485262402,0.0,30.332261521972132
124,Orange County (Southeast) PUMA,50.71428571428571,0.0,100.0
125,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,#DIV/0!,0.0
126,Suffolk County (Northwest)--Smithtown Town PUMA,#DIV/0!,#DIV/0!,#DIV/0!
127,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",0.0,0.0,0.0
128,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",41.13706910635517,45.53971486761711,38.18876159301691
129,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,58.210361067503925,51.10533159947984,64.84517304189436
130,Westchester County (Southwest)--Yonkers City PUMA,60.61958519296403,78.05151175811869,45.22985664854177
131,Broome (Outer West) & Tioga Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,55.52699228791774,58.59840954274353,52.23642172523961
133,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",40.12147195426938,39.211618257261414,41.093865484109386
134,NYC-Manhattan Community District 10--Central Harlem PUMA,35.80773606370876,53.070683661645425,19.162011173184357
135,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",53.294289897510986,71.23287671232876,0.0
136,Erie County (Northwest) PUMA,47.239263803680984,#DIV/0!,47.239263803680984
