,puma,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,74.10563003151694,85.04670023446208,59.54220344012524
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",93.65279529213956,100.0,71.56308851224105
2,Ulster County (East) PUMA,63.23529411764706,98.0456026058632,0.0
3,Albany County (East Central)--Albany City PUMA,100.0,100.0,100.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,100.0,#DIV/0!,100.0
5,Ontario & Yates Counties PUMA,100.0,100.0,100.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,100.0,100.0,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,85.51774076755973,87.89915966386555,70.68062827225131
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",100.0,100.0,100.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,87.35483870967742,77.82805429864254,100.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",78.89787885414388,88.76743309460987,65.26041666666667
11,Livingston & Wyoming Counties PUMA,100.0,100.0,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,48.22107550244432,69.52561669829223,36.35017974201734
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,84.01162790697676,100.0,79.5031055900621
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,100.0,100.0,100.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,34.36426116838488,46.15384615384615,22.972972972972975
16,Monroe County (Central)--Rochester City (East) PUMA,64.28571428571429,100.0,51.61290322580645
17,Westchester County (Northwest) PUMA,86.63121914166351,100.0,60.97560975609756
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,100.0,#DIV/0!,100.0
19,Onondaga County (Central)--Syracuse City PUMA,64.26035502958581,76.83438155136268,47.96195652173913
20,Westchester County (Northeast) PUMA,42.4317617866005,26.813880126182966,100.0
21,Madison & Cortland Counties PUMA,0.0,0.0,#DIV/0!
22,Erie County (West Central)--Buffalo City (West) PUMA,62.20825852782765,62.989323843416365,61.41304347826087
23,Monroe County (Central)--Rochester City (West) PUMA,68.42837273991655,80.61538461538461,58.37563451776649
24,Suffolk County (Central)--Islip Town (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,100.0,100.0,#DIV/0!
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",75.81446045779339,97.80842157104162,54.52812202097236
27,St. Lawrence County PUMA,100.0,#DIV/0!,100.0
28,Columbia & Greene Counties PUMA,0.0,#DIV/0!,0.0
