,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,168823,110633,58190,29746.842491840565,32005.245993510074,25453.08145729507
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",2228,1848,380,26167.684021543984,29615.584415584417,9400.0
2,Ulster County (East) PUMA,602,602,0,27624.584717607973,27624.584717607973,0.0
3,Albany County (East Central)--Albany City PUMA,588,558,30,31234.69387755102,32000.0,17000.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,161,0,161,29300.0,0.0,29300.0
5,Ontario & Yates Counties PUMA,164,82,82,24500.0,25000.0,24000.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,146,146,0,40000.0,40000.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1181,1046,135,97791.27857747671,107805.44933078394,20200.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",93,39,54,23535.483870967742,31200.0,18000.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,677,344,333,21960.709010339735,18767.441860465115,25259.45945945946
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",3608,2355,1253,27186.252771618627,33869.25690021231,14625.61851556265
11,Livingston & Wyoming Counties PUMA,19,19,0,25000.0,25000.0,0.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,3551,1832,1719,20670.712475359054,21985.371179039303,19269.633507853403
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,867,227,640,25152.249134948095,62070.484581497796,12057.8125
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,222,86,136,19690.09009009009,19200.0,20000.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,100,66,34,26156.0,21600.0,35000.0
16,Monroe County (Central)--Rochester City (East) PUMA,216,88,128,31781.48148148148,51000.0,18568.75
