,puma,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,23.89162634555954,22.308404417113007,25.17702892053965
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",5.637254901960785,0.0,11.11111111111111
2,Ulster County (East) PUMA,59.723502304147466,41.49933065595716,100.0
3,Albany County (East Central)--Albany City PUMA,15.454545454545453,11.428571428571429,100.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,100.0,#DIV/0!,100.0
5,Ontario & Yates Counties PUMA,100.0,100.0,100.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,100.0,100.0,100.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,2.2764227642276422,0.0,7.282184655396619
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",100.0,100.0,#DIV/0!
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,87.13850837138509,78.67528271405493,94.67625899280576
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",1.2174184485718746,0.0,2.225392296718973
11,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,2.5542518949226456,0.0,3.881963074009784
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,69.34097421203438,80.1762114537445,67.72068511198947
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,40.1766004415011,0.0,49.59128065395095
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,69.86899563318777,53.84615384615385,77.14285714285715
16,Monroe County (Central)--Rochester City (East) PUMA,3.45821325648415,0.0,4.49438202247191
17,Westchester County (Northwest) PUMA,25.925925925925924,22.204968944099377,30.05747126436782
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,#DIV/0!,0.0
19,Onondaga County (Central)--Syracuse City PUMA,13.517665130568357,18.181818181818183,9.6045197740113
20,Westchester County (Northeast) PUMA,65.45012165450122,100.0,43.76237623762376
21,Madison & Cortland Counties PUMA,100.0,100.0,#DIV/0!
22,Erie County (West Central)--Buffalo City (West) PUMA,7.2521246458923505,7.379518072289157,7.1752951861943695
23,Monroe County (Central)--Rochester City (West) PUMA,43.418467583497055,51.05386416861827,37.90186125211506
24,Suffolk County (Central)--Islip Town (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,100.0,100.0,100.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",1.612756264236902,0.0,2.9083141636542886
27,St. Lawrence County PUMA,100.0,#DIV/0!,100.0
28,Columbia & Greene Counties PUMA,100.0,#DIV/0!,100.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,0.0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",30.648148148148145,19.756554307116104,41.3003663003663
31,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
32,Schenectady County--Schenectady City PUMA,100.0,100.0,100.0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",42.21153846153846,36.441893830703016,53.93586005830904
34,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,39.20386007237636,100.0,12.953367875647666
36,Suffolk County (East) PUMA,38.034188034188034,#DIV/0!,38.034188034188034
37,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,66.52916912197998,75.30647985989492,62.07815275310835
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,0.0,0.0
40,Westchester County (Central)--White Plains City PUMA,3.9145907473309607,5.355404089581304,0.0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",3.699956641133112,3.234501347708895,4.049607694254619
42,Erie County (North Central) PUMA,33.3607230895645,0.0,45.61797752808989
43,Chautauqua County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
44,Dutchess County (Southwest) PUMA,67.48768472906403,100.0,42.35807860262008
45,Westchester County (Southeast) PUMA,27.125941872981702,15.714285714285714,34.024179620034545
46,Rockland County (North)--New City & Congers PUMA,60.37735849056604,100.0,55.00000000000001
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,77.27935813274982,55.79240037071362,91.22068550811787
48,Suffolk County (Southwest)--Islip Town (South) PUMA,100.0,100.0,100.0
49,Erie County (West Central)--Buffalo City (East) PUMA,25.452812202097235,16.822429906542055,31.40096618357488
50,Wayne & Seneca Counties PUMA,100.0,100.0,#DIV/0!
51,Monroe County (South) PUMA,86.7457962413452,100.0,82.18085106382979
52,Tompkins County PUMA,0.0,0.0,0.0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,18.69918699186992,#DIV/0!,18.69918699186992
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,#DIV/0!,0.0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,#DIV/0!,0.0
