,puma,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,5.347936151694949,3.949504758205477,7.191879046136195
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.0,0.0,0.0
2,Ulster County (East) PUMA,0.0,0.0,0.0
3,Albany County (East Central)--Albany City PUMA,10.909090909090908,11.428571428571429,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,#DIV/0!,0.0
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,8.664021164021165,0.0,40.683229813664596
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,22.37442922374429,33.257918552036195,0.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",15.010309278350514,11.27026008292499,19.526627218934912
11,Livingston & Wyoming Counties PUMA,0.0,0.0,#DIV/0!
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.0,0.0,0.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,4.3604651162790695,19.823788546255507,0.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,68.26568265682657,0.0,100.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,0.0,0.0
16,Monroe County (Central)--Rochester City (East) PUMA,0.0,0.0,0.0
17,Westchester County (Northwest) PUMA,0.0,0.0,0.0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,#DIV/0!,0.0
19,Onondaga County (Central)--Syracuse City PUMA,12.513368983957218,19.696969696969695,0.0
20,Westchester County (Northeast) PUMA,0.0,0.0,0.0
21,Madison & Cortland Counties PUMA,0.0,0.0,#DIV/0!
