,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,158076,93930,64146,57949.44631696146,59999.78149685937,54947.10815951112,43071,21116,21955,83867.93865942281,86335.48048872892,81494.69278068776,87825,53002,34823,49053.11596925704,53396.86030715822,42441.76320248112,27180,19812,7368,45623.649006622516,49595.148394912176,34944.58469055375
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",733,401,332,59581.99181446112,49198.50374064838,72123.49397590362,333,138,195,54470.27027027027,57200.0,52538.46153846154,400,263,137,63837.5,45000.0,100000.0,0,0,0,#DIV/0!,0.0,0.0
2,Ulster County (East) PUMA,364,100,264,34271.42857142857,39628.0,32242.424242424244,204,17,187,33405.882352941175,13400.0,35224.59893048128,77,0,77,25000.0,0.0,25000.0,83,83,0,45000.0,45000.0,0.0
3,Albany County (East Central)--Albany City PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
5,Ontario & Yates Counties PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,235,102,133,56055.31914893617,113500.0,12000.0,102,102,0,113500.0,113500.0,0.0,133,0,133,12000.0,0.0,12000.0,0,0,0,#DIV/0!,0.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,2581,1971,610,95806.58659434327,106447.59005580924,61423.934426229505,883,823,60,149352.4348810872,145660.02430133658,200000.0,1252,780,472,71832.74760383386,87648.71794871795,45696.186440677964,446,368,78,57094.17040358744,58597.82608695652,50000.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",985,884,101,35263.248730964464,37007.12669683258,20000.0,586,586,0,43639.93174061433,43639.93174061433,0.0,399,298,101,22960.651629072683,23964.093959731545,20000.0,0,0,0,#DIV/0!,0.0,0.0
11,Livingston & Wyoming Counties PUMA,21,21,0,35000.0,35000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,21,21,0,35000.0,35000.0,0.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,273,273,0,28458.24175824176,28458.24175824176,0.0,0,0,0,#DIV/0!,0.0,0.0,273,273,0,28458.24175824176,28458.24175824176,0.0,0,0,0,#DIV/0!,0.0,0.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1274,984,290,56633.437990580846,65077.23577235772,27982.758620689656,166,166,0,73000.0,73000.0,0.0,496,363,133,83729.83870967742,94214.87603305785,55112.78195488722,612,455,157,30233.660130718956,38940.65934065934,5000.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,1240,702,538,52266.45161290323,74655.27065527065,23052.78810408922,347,220,127,80489.91354466858,75000.0,90000.0,561,197,364,34572.19251336899,94756.34517766497,2000.0,332,285,47,52666.867469879515,60494.73684210526,5200.0
