,puma,HSINC_UnEmp_Total,HSINC_FT_Work_Total,HSINC_Poverty_Total,HSINC_Working_Poor_Total,HSINC_Rent_Burden_Total,HSINC_Home_Ownership_Total,HSINC_Avg_PINCP_mf_t
0,Total Geo,5.771317554843738,73.48354904101045,48.811781257646196,34.21245421245421,35.63557232961017,21.2573724140578,26373.669369710748
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.0,41.460055096418735,71.2,64.78405315614619,36.2453531598513,56.96,34368.7707641196
2,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,100.0,29.411764705882355,29.411764705882355,0.0,0.0,21647.058823529413
3,Cayuga & Onondaga (South) Counties PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,100.0,#DIV/0!
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,10.597439544807965,77.63296935540683,26.459770114942526,9.346642468239565,23.638928067700988,14.275862068965516,21905.716878402905
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",0.0,94.39353099730458,59.70873786407766,65.33409480296973,43.792325056433405,62.69070735090153,25982.01027984009
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",3.371161548731642,91.43868683617637,27.166630646207047,10.278071101724745,20.276497695852534,29.371082775016212,29720.239352340726
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,100.0,0.0,0.0,0.0,33.33333333333333,53600.0
8,Erie County (Northwest) PUMA,0.0,100.0,0.0,0.0,#DIV/0!,100.0,27126.08695652174
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,#DIV/0!,#DIV/0!,100.0,#DIV/0!,0.0,0.0,#DIV/0!
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,100.0,60.19736842105263,100.0,100.0,0.0,1565.6830601092897
11,Saratoga County (South & Central) PUMA,0.0,100.0,77.85977859778598,67.47967479674797,#DIV/0!,100.0,24845.52845528455
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,18.425460636515915,16.272189349112427,75.51813471502591,0.0,84.12698412698413,10.233160621761659,18000.0
13,Columbia & Greene Counties PUMA,0.0,100.0,0.0,0.0,0.0,0.0,17655.405405405407
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.0,76.5,49.32614555256065,0.0,100.0,78.4366576819407,87431.37254901961
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.0,0.0,100.0,#DIV/0!,100.0,4.406779661016949,#DIV/0!
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,10.105263157894736,81.49882903981265,50.41580041580042,12.35632183908046,52.407407407407405,43.86694386694387,19135.05747126437
17,Putnam County PUMA,0.0,58.182989690721655,47.903822441430336,14.174972314507198,41.81701030927835,4.315659679408138,29229.6788482835
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,92.04927211646137,50.24311183144247,2.068126520681265,41.332510795805064,12.425715829281469,85880.41362530414
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,7.882324726197138,75.75148622624131,46.7411324341988,34.43130319442909,28.08904109589041,12.506684094825024,25889.852989941417
20,Rockland County (North)--New City & Congers PUMA,15.408191696851492,54.58344942881025,41.02691924227318,19.19346605410924,25.787459523108623,15.32901296111665,24800.102092904544
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",6.333647502356269,71.69488301312535,58.72325417352457,31.440700451048027,26.90025430912687,6.151847915928681,18421.729901830724
22,Orange County (Northwest) PUMA,0.0,27.885714285714286,51.0482180293501,72.1311475409836,100.0,48.9517819706499,16186.88524590164
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,5.487804878048781,26.636225266362253,53.8755980861244,21.142857142857142,20.095693779904305,0.0,41675.2
24,Dutchess County (Southwest) PUMA,0.0,28.134556574923547,59.96275605214153,0.0,74.8314606741573,17.13221601489758,42000.0
25,Westchester County (Northwest) PUMA,0.0,82.0650712557139,48.63147605083089,46.690694626474446,42.71817676486937,11.964766332273062,22729.3250327654
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,100.0,0.0,0.0,0.0,0.0,53081.96721311475
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.0,89.97445721583652,36.67873771339886,35.805535841022,37.504238724991524,23.719606828763578,34947.85911994322
28,Saratoga County (Outer) PUMA,0.0,100.0,0.0,0.0,#DIV/0!,#DIV/0!,26000.0
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,0.0,79.10592808551993,51.36612021857923,34.84029484029484,32.49133234274393,21.194379391100703,31712.32678132678
30,Erie County (South) PUMA,0.0,100.0,15.0,15.0,#DIV/0!,#DIV/0!,21266.666666666668
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",0.0,90.2439024390244,49.75767366720517,33.316008316008315,15.066621113768363,17.82444803446419,27920.27027027027
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.0,84.71615720524017,62.580326248146314,58.659793814432994,22.393822393822393,0.0,27066.39175257732
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,57.91505791505791,60.31645569620253,0.0,100.0,48.10126582278481,41848.88888888889
34,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
35,Genesee & Orleans Counties PUMA,0.0,100.0,0.0,0.0,#DIV/0!,0.0,29582.474226804123
36,Monroe County (Central)--Rochester City (West) PUMA,0.0,100.0,100.0,100.0,100.0,0.0,10500.0
37,Wayne & Seneca Counties PUMA,0.0,69.81541802388708,85.66775244299674,79.47122861586314,#DIV/0!,100.0,26046.656298600312
38,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
39,Erie County (North Central) PUMA,#DIV/0!,100.0,0.0,0.0,#DIV/0!,100.0,7405.405405405405
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,100.0,98.63760217983652,0.0,100.0,0.0,26000.0
41,Dutchess County (North & East) PUMA,0.0,24.30167597765363,100.0,100.0,24.30167597765363,14.148681055155876,15000.0
42,Tompkins County PUMA,0.0,100.0,0.0,0.0,#DIV/0!,100.0,27963.774403470718
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",#DIV/0!,#DIV/0!,100.0,#DIV/0!,100.0,0.0,#DIV/0!
44,Onondaga County (Central)--Syracuse City PUMA,4.52155625657203,59.03083700440529,28.35703001579779,15.671641791044777,24.390243902439025,48.657187993680886,30353.731343283584
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.0,100.0,56.419316843345115,0.0,64.39393939393939,50.8833922261484,29725.099601593625
46,Suffolk County (Northwest)--Smithtown Town PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
47,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
48,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,1.8518518518518516,85.14506059493206,19.908496732026144,14.621522536122495,18.0811232449298,14.313725490196077,30571.72740996334
49,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,100.0,43.875838926174495,62.264150943396224,65.96558317399618,56.124161073825505,20362.264150943396
50,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,#DIV/0!,#DIV/0!,100.0,#DIV/0!,100.0,30.1056338028169,#DIV/0!
51,Erie County (West Central)--Buffalo City (West) PUMA,0.0,79.48113207547169,76.0658505698607,60.23738872403561,57.6117713638936,19.009314140558846,32745.024727992088
52,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",#DIV/0!,#DIV/0!,0.0,#DIV/0!,#DIV/0!,100.0,#DIV/0!
53,Monroe County (North & West) PUMA,0.0,100.0,0.0,0.0,#DIV/0!,#DIV/0!,26000.0
