,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,121840,84620,37220,40463.36162179908,43259.65043724888,34105.97420741537
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",852,852,0,32703.63849765258,32703.63849765258,0.0
2,Ulster County (East) PUMA,83,83,0,45000.0,45000.0,0.0
3,Albany County (East Central)--Albany City PUMA,256,256,0,40988.28125,40988.28125,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,399,0,399,32000.0,0.0,32000.0
5,Ontario & Yates Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,33,0,33,40500.0,0.0,40500.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,2015,1595,420,53337.86600496278,59023.69905956113,31745.238095238095
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",101,0,101,31831.68316831683,0.0,31831.68316831683
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,354,354,0,35918.0790960452,35918.0790960452,0.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",2579,1557,1022,38210.97324544397,34915.028901734106,43232.28962818004
11,Livingston & Wyoming Counties PUMA,21,21,0,35000.0,35000.0,0.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,253,0,253,19943.478260869564,0.0,19943.478260869564
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,853,502,351,30551.699882766705,36305.97609561753,22321.937321937323
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,414,308,106,15081.400966183575,14421.103896103896,17000.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,732,363,369,38202.18579234973,53297.520661157025,23352.30352303523
16,Monroe County (Central)--Rochester City (East) PUMA,306,0,306,25070.58823529412,0.0,25070.58823529412
17,Westchester County (Northwest) PUMA,1216,576,640,46436.75986842105,66170.83333333333,28676.09375
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,220,220,0,34681.818181818184,34681.818181818184,0.0
19,Onondaga County (Central)--Syracuse City PUMA,111,67,44,38899.0990990991,53937.31343283582,16000.0
20,Westchester County (Northeast) PUMA,942,802,140,61695.2229299363,68099.12718204489,25010.0
21,Madison & Cortland Counties PUMA,80,0,80,15200.0,0.0,15200.0
22,Erie County (West Central)--Buffalo City (West) PUMA,956,192,764,18452.15481171548,16400.0,18967.879581151832
23,Monroe County (Central)--Rochester City (West) PUMA,226,226,0,41601.76991150442,41601.76991150442,0.0
24,Suffolk County (Central)--Islip Town (East) PUMA,161,0,161,36100.0,0.0,36100.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,87,87,0,48000.0,48000.0,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",2837,1710,1127,34518.85794853719,38695.90643274854,28181.0115350488
27,St. Lawrence County PUMA,0,0,0,#DIV/0!,0.0,0.0
28,Columbia & Greene Counties PUMA,25,0,25,80000.0,0.0,80000.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,76,76,0,45000.0,45000.0,0.0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",1148,532,616,28579.782229965156,37345.86466165414,21009.074675324675
31,Monroe County (North & West) PUMA,143,143,0,44500.0,44500.0,0.0
32,Schenectady County--Schenectady City PUMA,57,57,0,19600.0,19600.0,0.0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1426,719,707,29515.56802244039,37052.8511821975,21850.35360678925
34,Niagara County (North & East) PUMA,27,16,11,37944.444444444445,63000.0,1500.0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,432,100,332,29043.98148148148,50000.0,22731.927710843374
36,Suffolk County (East) PUMA,1721,1201,520,42201.16211504939,40159.86677768526,46915.769230769234
37,Warren & Washington Counties PUMA,184,34,150,19483.695652173912,30000.0,17100.0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,255,200,55,36417.64705882353,42225.0,15300.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",447,336,111,26747.203579418343,27324.404761904763,25000.0
40,Westchester County (Central)--White Plains City PUMA,931,477,454,46412.459720730396,57968.553459119496,34270.92511013216
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",1864,1612,252,24303.21888412017,25774.937965260546,14888.888888888889
42,Erie County (North Central) PUMA,376,161,215,14662.234042553191,20888.198757763974,10000.0
43,Chautauqua County PUMA,55,55,0,22000.0,22000.0,0.0
44,Dutchess County (Southwest) PUMA,764,202,562,46421.46596858639,36108.91089108911,50128.11387900356
45,Westchester County (Southeast) PUMA,1205,1074,131,41822.07468879668,39604.8417132216,60000.0
46,Rockland County (North)--New City & Congers PUMA,589,538,51,26354.83870967742,25724.907063197024,33000.0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,779,779,0,68164.3132220796,68164.3132220796,0.0
48,Suffolk County (Southwest)--Islip Town (South) PUMA,227,227,0,15000.0,15000.0,0.0
49,Erie County (West Central)--Buffalo City (East) PUMA,0,0,0,#DIV/0!,0.0,0.0
50,Wayne & Seneca Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
51,Monroe County (South) PUMA,701,448,253,28966.10556348074,32653.660714285714,22436.363636363636
52,Tompkins County PUMA,0,0,0,#DIV/0!,0.0,0.0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,2226,1585,641,42293.48607367475,41050.34700315457,45367.39469578783
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0,0,0,#DIV/0!,0.0,0.0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,42,42,0,110000.0,110000.0,0.0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0,0,0,#DIV/0!,0.0,0.0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",1923,1816,107,33353.71814872595,30605.286343612333,80000.0
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,804,623,181,45334.82587064677,43889.2455858748,50310.49723756906
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",1105,537,568,36490.642533936654,32934.33891992551,39852.85211267605
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,4224,2559,1665,65116.28787878788,77127.86244626807,46655.25525525526
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",457,0,457,20293.216630196937,0.0,20293.216630196937
62,Saratoga County (South & Central) PUMA,170,42,128,32070.58823529412,46000.0,27500.0
63,Cattaraugus & Allegany Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
64,Genesee & Orleans Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
65,Cayuga & Onondaga (South) Counties PUMA,46,46,0,33369.565217391304,33369.565217391304,0.0
66,Sullivan & Ulster (West) Counties PUMA,549,549,0,62887.067395264115,62887.067395264115,0.0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",943,347,596,29463.2131495228,55979.827089337174,14024.848993288591
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,965,608,357,28604.145077720208,31924.342105263157,22949.579831932773
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,1236,722,514,37424.190938511325,42547.50692520776,30227.62645914397
70,Jefferson & Lewis Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1424,1171,253,56801.82584269663,63302.305721605466,26714.624505928852
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,3090,2732,358,59613.62459546926,63739.78770131771,28125.698324022345
73,Orange County (Northeast)--Greater Newburgh City PUMA,300,300,0,35000.0,35000.0,0.0
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",1530,1129,401,31178.53594771242,33700.7617360496,24077.306733167083
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",2033,1502,531,30502.64633546483,30742.929427430092,29822.975517890773
76,Erie County (Central) PUMA,0,0,0,#DIV/0!,0.0,0.0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",1754,1115,639,26290.935005701253,29175.336322869956,21257.902973395932
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",1208,995,213,58644.37086092715,59757.18592964824,53446.00938967136
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",1050,541,509,27321.92380952381,29884.879852125694,24597.838899803537
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,2845,1564,1281,39863.40246045694,33296.598465473144,47880.95238095238
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,90,90,0,89466.66666666667,89466.66666666667,0.0
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0,0,0,#DIV/0!,0.0,0.0
83,"Chenango, Delaware & Broome (East) Counties PUMA",76,76,0,462000.0,462000.0,0.0
84,Orange County (Northwest) PUMA,64,0,64,38000.0,0.0,38000.0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2113,1325,788,34427.92238523426,29909.584905660377,42025.3807106599
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,363,363,0,25220.38567493113,25220.38567493113,0.0
87,Dutchess County (North & East) PUMA,839,839,0,31200.953516090583,31200.953516090583,0.0
88,Putnam County PUMA,437,403,34,34000.86956521739,34914.640198511166,23170.0
89,Albany County (Outside Albany City) PUMA,238,185,53,39932.773109243695,40200.0,39000.0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",615,182,433,24236.91056910569,41676.92307692308,16906.466512702078
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,5375,4330,1045,35607.66511627907,37837.921478060045,26366.507177033494
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",912,736,176,37702.19298245614,33605.97826086957,54831.818181818184
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,291,230,61,58303.092783505155,70000.0,14200.0
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,455,455,0,71923.07692307692,71923.07692307692,0.0
95,Oswego County PUMA,0,0,0,#DIV/0!,0.0,0.0
96,Rensselaer County--Troy City PUMA,35,0,35,21600.0,0.0,21600.0
97,Saratoga County (Outer) PUMA,0,0,0,#DIV/0!,0.0,0.0
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,275,0,275,70977.81818181818,0.0,70977.81818181818
