,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,203787,138905,64882,27388.116464740146,29524.3944422447,22814.587713079127
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,687,0,687,25000.0,0.0,25000.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,742,135,607,26555.256064690027,20000.0,28013.17957166392
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,564,546,18,28932.978723404256,29721.978021978022,5000.0
4,Madison & Cortland Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
5,Ontario & Yates Counties PUMA,120,49,71,12000.0,12000.0,12000.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,183,0,183,12700.0,0.0,12700.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1286,1149,137,32269.59564541213,30127.67624020888,50233.57664233576
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",21,21,0,38400.0,38400.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,161,161,0,27000.0,27000.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1661,959,702,26339.55448524985,20000.0,35000.0
11,Erie County (Northwest) PUMA,0,0,0,#DIV/0!,0.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",1561,1109,452,32287.892376681615,38258.79170423805,17638.05309734513
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,2900,1964,936,23414.344827586207,22995.01018329939,24294.23076923077
14,Rockland County (North)--New City & Congers PUMA,939,760,179,23381.256656017038,24413.157894736843,19000.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",21,21,0,15300.0,15300.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,15447,10828,4619,29191.247491422284,35173.50387883266,15167.460489283394
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,8567,6305,2262,25525.997432006538,26524.9040444092,22741.688770999117
18,Tompkins County PUMA,13,13,0,38400.0,38400.0,0.0
19,Dutchess County (Southwest) PUMA,789,789,0,34076.04562737643,34076.04562737643,0.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,2619,1808,811,28404.887361588393,28317.86504424779,28598.89025893958
21,Westchester County (Northwest) PUMA,2527,1530,997,32749.386624455878,39580.84967320262,22265.79739217653
22,Albany County (Outside Albany City) PUMA,0,0,0,#DIV/0!,0.0,0.0
23,Monroe County (South) PUMA,917,239,678,18996.728462377316,20467.78242677824,18478.171091445427
24,Jefferson & Lewis Counties PUMA,132,37,95,14619.69696969697,34183.78378378379,7000.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",0,0,0,#DIV/0!,0.0,0.0
26,Erie County (Central) PUMA,0,0,0,#DIV/0!,0.0,0.0
27,St. Lawrence County PUMA,16,0,16,5000.0,0.0,5000.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",3223,1172,2051,21204.77815699659,19778.15699658703,22019.99024865919
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0,0,0,#DIV/0!,0.0,0.0
