,puma,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,76.44765401998097,86.27643748787271,63.169529734547304
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,#DIV/0!
2,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,85.16880093131547,97.6163014225298,66.05667060212514
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",78.48172597005313,91.76317313259989,61.84258251722887
5,Madison & Cortland Counties PUMA,40.33613445378151,0.0,100.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,57.313037723362015,79.96845425867508,40.935005701254276
7,Dutchess County (Southwest) PUMA,0.0,#DIV/0!,0.0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",74.75538160469667,82.36355435272891,67.67422334172963
9,Dutchess County (North & East) PUMA,68.8,52.46478873239436,90.27777777777779
10,Erie County (Central) PUMA,79.77099236641222,100.0,44.79166666666667
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,83.09447206785609,91.10344827586206,77.19654647028949
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,#DIV/0!
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,71.16556463114223,85.05171475231356,50.729049831757735
14,Westchester County (Northeast) PUMA,100.0,100.0,100.0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,67.85714285714286,42.95774647887324,100.0
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,100.0,#DIV/0!,100.0
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,100.0,100.0,#DIV/0!
18,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",93.14128943758574,100.0,87.62376237623762
20,"Chenango, Delaware & Broome (East) Counties PUMA",71.11111111111111,#DIV/0!,71.11111111111111
21,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",#DIV/0!,#DIV/0!,#DIV/0!
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,100.0,100.0,100.0
24,Ontario & Yates Counties PUMA,100.0,100.0,#DIV/0!
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",68.96686159844054,100.0,44.37456324248777
26,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,61.041333637816855,75.63959955506118,37.63376932223543
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",63.32436069986541,69.36013125512716,35.767790262172284
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",100.0,100.0,100.0
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",81.2767984754645,97.28756601056169,49.97653683716565
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,73.99659450255413,86.7879746835443,53.56917245735945
32,Erie County (West Central)--Buffalo City (West) PUMA,53.53846153846153,58.17142857142857,48.13333333333333
