,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,127158,89930,37228,33623.366158637284,35428.61312131658,29262.512517459978
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0,0,0,#DIV/0!,0.0,0.0
2,Tompkins County PUMA,0,0,0,#DIV/0!,0.0,0.0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1877,1053,824,27841.337240277036,27924.20702754036,27735.436893203885
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",2554,1627,927,35897.736883320285,39905.470190534725,28863.667745415318
5,Madison & Cortland Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,1802,1337,465,30459.267480577135,33078.23485415109,22929.032258064515
7,Dutchess County (Southwest) PUMA,591,591,0,20098.646362098138,20098.646362098138,0.0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",1203,883,320,20706.400665004156,20424.462061155155,21484.375
9,Dutchess County (North & East) PUMA,575,347,228,30377.11304347826,28634.00576368876,33030.0
10,Erie County (Central) PUMA,127,62,65,34645.669291338585,50000.0,20000.0
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1119,820,299,49355.049151027706,53308.90243902439,38511.70568561873
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",216,108,108,39598.42592592593,47196.851851851854,32000.0
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2643,1965,678,27352.024214907302,26119.898218829516,30923.008849557522
14,Westchester County (Northeast) PUMA,1265,1265,0,32403.95256916996,32403.95256916996,0.0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1383,1098,285,30720.318148951555,30225.865209471765,32625.263157894737
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,196,44,152,23714.285714285714,40000.0,19000.0
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,582,62,520,20717.027491408935,28000.0,19848.673076923078
18,Niagara County (North & East) PUMA,244,125,119,28491.803278688523,48000.0,8000.0
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",1602,1146,456,34043.757802746564,33371.815008726,35732.45614035088
20,"Chenango, Delaware & Broome (East) Counties PUMA",0,0,0,#DIV/0!,0.0,0.0
21,Oswego County PUMA,0,0,0,#DIV/0!,0.0,0.0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1145,968,177,29585.498689956334,29710.743801652894,28900.542372881355
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,846,758,88,44558.39243498818,45689.182058047496,34818.181818181816
24,Ontario & Yates Counties PUMA,88,0,88,30000.0,0.0,30000.0
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",970,448,522,34230.927835051545,31716.51785714286,36388.88888888889
26,Erie County (Northwest) PUMA,70,0,70,32000.0,0.0,32000.0
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,2839,1932,907,33497.92180345192,37319.565217391304,25357.4421168688
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1051,623,428,32949.38154138915,34453.93258426966,30759.345794392524
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",1032,909,123,22581.39534883721,20359.73597359736,39000.0
