,puma,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
0,Total Geo,38.032183997509335,36.276665190998926,41.268414136523965
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,#DIV/0!
2,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,35.265172225259704,36.74675068924774,31.903485254691688
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",33.234177864396344,36.80391228900458,26.59824046920821
5,Madison & Cortland Counties PUMA,0.0,#DIV/0!,0.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,34.98845265588915,26.232741617357004,47.353760445682454
7,Dutchess County (Southwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",81.58813263525305,77.3274917853231,86.41439205955335
9,Dutchess County (North & East) PUMA,22.96511627906977,53.02013422818792,0.0
10,Erie County (Central) PUMA,39.71291866028708,50.0,0.0
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,18.021823301654347,26.873580620741862,10.328947368421053
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,54.55456367280015,56.15719406041987,50.600126342387874
14,Westchester County (Northeast) PUMA,10.00649772579597,10.526315789473683,0.0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,35.67251461988304,100.0,0.0
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,100.0,#DIV/0!,100.0
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,0.0,#DIV/0!
18,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",0.0,0.0,0.0
20,"Chenango, Delaware & Broome (East) Counties PUMA",100.0,#DIV/0!,100.0
21,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",#DIV/0!,#DIV/0!,#DIV/0!
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,45.35175879396985,51.45631067961165,34.16370106761566
24,Ontario & Yates Counties PUMA,0.0,0.0,#DIV/0!
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",46.2408140192199,16.137566137566136,100.0
26,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,38.38383838383838,40.63725490196079,31.121642969984205
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",34.53772582359193,38.4387936132466,0.0
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",93.57021996615906,100.0,92.91044776119402
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",39.19499804611176,41.17937330372563,31.643192488262912
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,30.53911900065746,18.04922515952598,62.85377358490566
32,Erie County (West Central)--Buffalo City (West) PUMA,26.666666666666668,34.9705304518664,14.958448753462603
33,Schenectady County--Schenectady City PUMA,100.0,100.0,#DIV/0!
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,26.398075766686713,14.105263157894738,100.0
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,14.2974527526705,15.077989601386482,0.0
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,26.701183431952664,15.77813677975229,50.649350649350644
38,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
39,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,28.330781010719758,21.978021978021978,60.747663551401864
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",48.90920423852067,55.84024114544084,40.38906901343214
42,Erie County (West Central)--Buffalo City (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
43,Suffolk County (Northwest)--Smithtown Town PUMA,100.0,#DIV/0!,100.0
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,18.325676365492598,0.0,48.31763122476447
45,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,0.0,#DIV/0!
