,puma,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,6.994550418759235,6.285761991304739,7.948651452282157
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,#DIV/0!
2,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4.575311438278596,2.4746906636670416,7.780320366132723
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",3.213378145749651,2.236565595917142,4.388658118114503
5,Madison & Cortland Counties PUMA,0.0,#DIV/0!,0.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,11.55527795128045,0.0,19.131334022750774
7,Dutchess County (Southwest) PUMA,0.0,#DIV/0!,0.0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",5.1417689377909435,6.943849121303043,3.384872544922691
9,Dutchess County (North & East) PUMA,15.54054054054054,0.0,29.87012987012987
10,Erie County (Central) PUMA,0.0,0.0,0.0
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,3.7730330505995906,0.0,6.551549009649568
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,5.295407636738906,5.15333544103699,5.519534497090607
14,Westchester County (Northeast) PUMA,0.0,0.0,0.0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.0,#DIV/0!,0.0
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,0.0,#DIV/0!
18,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",6.858710562414267,0.0,12.376237623762377
20,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,#DIV/0!,0.0
21,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",#DIV/0!,#DIV/0!,#DIV/0!
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,0.0,0.0,0.0
24,Ontario & Yates Counties PUMA,0.0,0.0,#DIV/0!
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",26.619789050728276,33.57142857142857,23.89937106918239
26,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,13.49589570255915,14.918699186991871,11.414982164090368
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",7.237512742099899,8.736669401148482,0.0
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.0,0.0,0.0
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",3.4934497816593884,0.0,9.973285841495994
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,8.18846056941295,6.382978723404255,10.941475826972011
32,Erie County (West Central)--Buffalo City (West) PUMA,11.904761904761903,0.0,30.74141048824593
33,Schenectady County--Schenectady City PUMA,58.875739644970416,0.0,100.0
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,0.0
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,4.576475311120031,7.6,0.0
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,23.910454870207193,10.623170221664575,41.482300884955755
38,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
39,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,51.65467625899281,58.058608058608066,28.187919463087248
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",7.591362126245847,9.526662672258837,5.182699478001491
42,Erie County (West Central)--Buffalo City (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
43,Suffolk County (Northwest)--Smithtown Town PUMA,0.0,#DIV/0!,0.0
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.0,0.0,0.0
45,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,0.0,#DIV/0!
46,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,#DIV/0!
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",0.0,0.0,0.0
48,Erie County (South) PUMA,0.0,#DIV/0!,0.0
49,Albany County (Outside Albany City) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,6.049004594180704,0.0,15.39961013645224
51,Erie County (North Central) PUMA,0.0,0.0,#DIV/0!
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",0.0,0.0,#DIV/0!
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",12.991718426501034,19.230335176616634,4.609552691432904
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,0.0,#DIV/0!
