,puma,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,22.966939551967965,20.957681604452546,24.657245496091456
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,#DIV/0!
2,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4.032957502168257,2.4746906636670416,6.169665809768637
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",29.482738713774392,26.409666283084004,32.57645968489342
5,Madison & Cortland Counties PUMA,0.0,#DIV/0!,0.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,14.535290006988118,8.55614973262032,16.65089877010407
7,Dutchess County (Southwest) PUMA,33.33333333333333,#DIV/0!,33.33333333333333
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",2.868334596916856,3.9448797622264253,1.9226204604794683
9,Dutchess County (North & East) PUMA,61.6554054054054,52.46478873239436,70.12987012987013
10,Erie County (Central) PUMA,79.50819672131148,39.90384615384615,100.0
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,66.6512381393196,59.94750656167979,71.93708609271523
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",85.24590163934425,0.0,100.0
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,12.67150182473322,9.226248775710088,15.747136486840954
14,Westchester County (Northeast) PUMA,10.472610096670246,8.133971291866029,19.047619047619047
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,91.26074498567334,75.6,100.0
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.0,#DIV/0!,0.0
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,62.56983240223464,62.56983240223464,#DIV/0!
18,Niagara County (North & East) PUMA,100.0,#DIV/0!,100.0
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",81.08632395732299,79.72972972972973,81.84568835098335
20,"Chenango, Delaware & Broome (East) Counties PUMA",28.888888888888886,#DIV/0!,28.888888888888886
21,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,#DIV/0!,0.0
