,puma,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,50.780312124849935,45.95119718084936,54.83670476292679
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",100.0,100.0,#DIV/0!
2,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,38.48655680832611,37.4578177727784,39.897172236503856
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",49.209189563611176,50.414173953060285,47.99582947173309
5,Madison & Cortland Counties PUMA,0.0,#DIV/0!,0.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,63.52201257861635,33.02139037433155,74.31409649952695
7,Dutchess County (Southwest) PUMA,66.66666666666666,#DIV/0!,66.66666666666666
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",76.81913970497088,73.97918334667735,79.2824074074074
9,Dutchess County (North & East) PUMA,13.344594594594595,27.816901408450708,0.0
10,Erie County (Central) PUMA,67.37704918032786,60.09615384615385,71.14427860696517
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,29.969914371673223,18.635170603674542,38.907284768211916
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",40.16393442622951,100.0,29.807692307692307
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,65.25153600960873,60.979431929480896,69.06531433068113
14,Westchester County (Northeast) PUMA,25.61761546723953,10.526315789473683,80.95238095238095
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,22.237762237762237,59.55056179775281,0.0
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,100.0,#DIV/0!,100.0
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,0.0,#DIV/0!
18,Niagara County (North & East) PUMA,0.0,#DIV/0!,0.0
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",9.21435499515034,12.162162162162163,7.564296520423601
20,"Chenango, Delaware & Broome (East) Counties PUMA",100.0,#DIV/0!,100.0
21,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",100.0,100.0,100.0
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,37.957824639289676,49.75124378109453,32.02668890742285
24,Ontario & Yates Counties PUMA,0.0,0.0,0.0
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",56.38903259182617,14.523809523809526,76.63085188027628
26,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,58.422550481095,56.38795986622074,59.80861244019139
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",58.35339431872894,45.65217391304348,76.3986013986014
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",90.3755868544601,100.0,86.79549114331722
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",59.57211731619124,45.58570198105082,71.79969879518072
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,40.563959465413426,32.8316086547507,47.3756906077348
32,Erie County (West Central)--Buffalo City (West) PUMA,67.20379146919431,62.171428571428564,70.76923076923077
33,Schenectady County--Schenectady City PUMA,54.330708661417326,100.0,41.53225806451613
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,16.466385189996753,13.43582887700535,19.33038534428301
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,61.67035398230089,42.52199413489736,78.75457875457876
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,26.71662953210452,12.254286909242996,40.298507462686565
38,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
39,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,53.234265734265726,34.87450462351387,89.14728682170544
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",59.698892621624985,65.49945711183496,54.789800137835975
42,Erie County (West Central)--Buffalo City (East) PUMA,100.0,#DIV/0!,100.0
43,Suffolk County (Northwest)--Smithtown Town PUMA,60.43956043956044,#DIV/0!,60.43956043956044
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,36.91756272401434,0.0,61.144090663788454
45,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,0.0,#DIV/0!
46,Suffolk County (Southwest)--Islip Town (South) PUMA,72.56857855361596,45.54455445544555,100.0
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",71.57676348547717,50.86705202312138,76.10619469026548
48,Erie County (South) PUMA,0.0,#DIV/0!,0.0
49,Albany County (Outside Albany City) PUMA,29.292929292929294,#DIV/0!,29.292929292929294
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,39.53610964681075,18.0327868852459,54.98188405797102
51,Erie County (North Central) PUMA,100.0,100.0,100.0
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",43.92655367231638,45.320197044334975,43.366336633663366
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",58.46015691464221,55.577852777524406,61.55958803334968
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,52.38095238095239,52.38095238095239,#DIV/0!
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",32.3380992430614,21.87063750581666,40.96662830840046
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",57.420924574209245,61.74033149171271,54.64238116392715
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",40.99009900990099,33.160377358490564,47.83505154639175
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,85.30510585305106,100.0,74.06593406593407
59,Albany County (East Central)--Albany City PUMA,80.84935897435898,90.3420523138833,74.56724367509987
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,52.65188996635663,63.1578947368421,42.45319812792512
61,Rensselaer County--Troy City PUMA,51.707317073170735,0.0,74.64788732394366
62,Warren & Washington Counties PUMA,0.0,#DIV/0!,0.0
63,Orange County (Northeast)--Greater Newburgh City PUMA,33.31336129418814,17.537022603273577,85.75129533678756
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",28.67203219315895,28.37209302325581,29.22636103151863
65,Fulton & Montgomery Counties PUMA,0.0,#DIV/0!,0.0
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,40.56468440271257,39.898477157360404,41.10887335623741
67,Monroe County (Central)--Rochester City (East) PUMA,28.32369942196532,18.52861035422343,33.68107302533532
68,Chautauqua County PUMA,0.0,0.0,#DIV/0!
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,38.726790450928384,41.853035143769965,23.4375
70,"Clinton, Franklin, Essex & Hamilton Counties PUMA",68.22916666666666,51.21951219512195,80.9090909090909
71,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,24.04242781378904,25.32347504621072,23.442906574394463
72,Monroe County (Central)--Rochester City (West) PUMA,76.3986013986014,100.0,65.9090909090909
73,Orange County (Southeast) PUMA,94.05737704918032,91.1042944785276,100.0
74,Rockland County (North)--New City & Congers PUMA,48.297213622291025,0.0,50.70422535211267
75,Westchester County (Southeast) PUMA,68.53844135397533,75.48864236661385,61.67883211678832
76,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",89.71119133574007,92.46823956442832,88.61671469740634
77,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,58.104738154613464,#DIV/0!,58.104738154613464
78,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,28.436357149228435,21.6722972972973,36.004536004536
79,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",21.822149481723947,13.682777399591558,27.264451524806553
80,Onondaga County (Central)--Syracuse City (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
81,Wayne & Seneca Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
82,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",66.18991581424821,64.8119723714505,67.42073693230506
83,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,28.674948240165634,100.0,0.0
84,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,27.529249827942188,1.4436958614051971,42.04606320299946
85,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",58.96980461811723,48.68035190615836,61.5727002967359
86,Suffolk County (South Central)--Brookhaven Town (South) PUMA,26.676176890156917,0.0,43.13725490196079
87,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,60.35498372345373,52.197690905408145,65.41117388575016
88,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
89,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",78.60696517412936,100.0,59.14489311163895
90,Cattaraugus & Allegany Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
91,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
92,Orange County (Northwest) PUMA,69.84375,83.10344827586206,58.857142857142854
93,Columbia & Greene Counties PUMA,100.0,100.0,#DIV/0!
94,Suffolk County (East) PUMA,10.097431355181577,15.811373092926493,0.0
95,Monroe County (East) PUMA,0.0,0.0,0.0
96,Sullivan & Ulster (West) Counties PUMA,47.78761061946903,0.0,100.0
97,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
98,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",65.90145117651882,71.22081898201301,61.913642232104436
